preference_id,user_id,preferred_categories,preferred_colors,preferred_fabrics,preferred_brands,preferred_styles,skin_tone,body_type,price_sensitivity,updated_ts,_ingestion_ts,_source_file,_ingestion_date,_cleaned_at,_dq_score
1.0,1.0,"utility pants, chinos, oversize tee","brown, off-white, teal","modal, cotton",brand_3,"casual, athleisure, formal",medium skin,tall friendly,medium,2025-11-19 14:56:19.269218,2026-01-01 20:52:37.190883,user_preferences_dataset.csv,2026-01-01,2026-01-01T15:26:06.925720,97
2.0,2.0,"joggers & pants, blazers, shorts","polka dot, teal, tan","linen, denim",brand_6,"athleisure, formal, beach wear",medium skin,curvy friendly,medium,2025-11-19 14:56:19.269398,2026-01-01 20:52:37.190883,user_preferences_dataset.csv,2026-01-01,2026-01-01T15:26:06.925720,97
3.0,3.0,"coats, joggers & pants, sweatshirts","brown, tan, yellow","denim, modal",brand_19,"hipster, beach wear, eco-friendly",dark skin,curvy friendly,medium,2025-11-19 14:56:19.269539,2026-01-01 20:52:37.190883,user_preferences_dataset.csv,2026-01-01,2026-01-01T15:26:06.925720,97
4.0,4.0,"beach wear, coats, utility pants","red, striped, peach","linen, fleece",brand_8,"hipster, luxury, y2k",fair skin,skinny friendly,medium,2025-11-19 14:56:19.269663,2026-01-01 20:52:37.190883,user_preferences_dataset.csv,2026-01-01,2026-01-01T15:26:06.925720,97
5.0,5.0,"shorts, oversize tee, utility pants","tie-dye, orange, charcoal","bamboo, tencel",brand_1,,dark skin,curvy friendly,high,2025-11-19 14:56:19.269789,2026-01-01 20:52:37.190883,user_preferences_dataset.csv,2026-01-01,2026-01-01T15:26:06.925720,97
6.0,6.0,"sweatshirts, beach wear, track pants","peach, pastel pink, mustard","linen, bamboo",brand_1,"y2k, hipster, eco-friendly",fair skin,tall friendly,high,2025-11-19 14:56:19.269915,2026-01-01 20:52:37.190883,user_preferences_dataset.csv,2026-01-01,2026-01-01T15:26:06.925720,97
7.0,7.0,"shorts, denim jackets, polos","multi-color, beige, green","bamboo, tencel",brand_1,"formal, preppy, luxury",dark skin,curvy friendly,high,2025-11-19 14:56:19.270037,2026-01-01 20:52:37.190883,user_preferences_dataset.csv,2026-01-01,2026-01-01T15:26:06.925720,97
8.0,8.0,"joggers & pants, track pants, polos","nude, blue, off-white",,brand_9,"eco-friendly, minimalist, party wear",fair skin,skinny friendly,high,2025-11-19 14:56:19.270179,2026-01-01 20:52:37.190883,user_preferences_dataset.csv,2026-01-01,2026-01-01T15:26:06.925720,97
9.0,9.0,"shorts, t-shirts, hoodies & jackets","charcoal, red, blue","polyester, cotton",brand_13,"formal, cottagecore, casual",dark skin,curvy friendly,high,2025-11-19 14:56:19.270302,2026-01-01 20:52:37.190883,user_preferences_dataset.csv,2026-01-01,2026-01-01T15:26:06.925720,97
10.0,,"denim jackets, beach wear, utility pants","charcoal, brown, plaid","fleece, tencel",,"eco-friendly, vintage, luxury",fair skin,curvy friendly,medium,2025-11-19 14:56:19.270432,2026-01-01 20:52:37.190883,user_preferences_dataset.csv,2026-01-01,2026-01-01T15:26:06.925720,97
11.0,11.0,"cardigans, tanks, track pants","sky blue, green, grey","tencel, linen",brand_19,"office wear, formal, beach wear",medium skin,curvy friendly,low,2025-11-19 14:56:19.270554,2026-01-01 20:52:37.190883,user_preferences_dataset.csv,2026-01-01,2026-01-01T15:26:06.925720,97
12.0,12.0,"joggers & pants, chinos, blazers","pastel blue, off-white, navy","denim, corduroy",brand_19,"office wear, preppy, cottagecore",medium skin,curvy friendly,medium,2025-11-19 14:56:19.270680,2026-01-01 20:52:37.190883,user_preferences_dataset.csv,2026-01-01,2026-01-01T15:26:06.925720,97
13.0,13.0,"chinos, denim jackets, kimono","nude, striped, mustard","fleece, rayon",brand_2,"y2k, eco-friendly, cottagecore",dark skin,petite friendly,medium,2025-11-19 14:56:19.270801,2026-01-01 20:52:37.190883,user_preferences_dataset.csv,2026-01-01,2026-01-01T15:26:06.925720,97
14.0,14.0,"coats, oversize tee, denim jackets","orange, blue, olive","corduroy, rayon",brand_18,"streetwear, party wear, preppy",neutral skin,curvy friendly,medium,2025-11-19 14:56:19.270922,2026-01-01 20:52:37.190883,user_preferences_dataset.csv,2026-01-01,2026-01-01T15:26:06.925720,97
15.0,,"polos, t-shirts, blazers","multi-color, navy, olive","tencel, leather",brand_11,"cottagecore, eco-friendly, minimalist",fair skin,tall friendly,high,2025-11-19 14:56:19.271041,2026-01-01 20:52:37.190883,user_preferences_dataset.csv,2026-01-01,2026-01-01T15:26:06.925720,97
16.0,16.0,"track pants, beach wear, tanks",,"linen, cotton",brand_5,"eco-friendly, y2k, cottagecore",neutral skin,skinny friendly,high,2025-11-19 14:56:19.271193,2026-01-01 20:52:37.190883,user_preferences_dataset.csv,2026-01-01,2026-01-01T15:26:06.925720,97
17.0,17.0,"polos, utility pants, hoodies & jackets","tie-dye, peach, crimson","silk, polyester",brand_12,"office wear, hipster, beach wear",dark skin,petite friendly,high,2025-11-19 14:56:19.271316,2026-01-01 20:52:37.190883,user_preferences_dataset.csv,2026-01-01,2026-01-01T15:26:06.925720,97
