product_id,shop_id,name,category,color,fabric,size_range,price_LKR,style_tags,product_url,created_ts,popularity_score,stock_count,created_timestamp
1,8,Dynamic Vintage Beach Wear,BEACH WEAR,Navy,Wool,L,3000,"Tall Friendly, Checked, Monochrome, Sporty, Dark Skin, Athleisure, Curvy Friendly, Patterned",https://www.levi.com/product/1,19:51.6,3.0,19,2024-12-25 17:36:31
2,15,Luxury Rustic Coats,COATS,Checked,Polyester,XL-XXL,14000,"Floral, Formal, Comfy, Checked, Petite Friendly, Dark Skin, Cold Weather, Medium Skin",https://www.nike.com/product/2,46:58.1,2.6,165,2025-11-15 17:36:31
3,3,Vintage Oversized Beach Wear,BEACH WEAR,Mustard,Velvet,XS-S,5000,"Dark Skin, Eco-friendly, Edgy, Hipster, Business Casual, Y2K, Travel Friendly",https://www.nike.com/product/3,12:27.7,3.6,461,2024-12-21 17:36:31
4,12,Sporty Textured T-Shirts,T-SHIRTS,Brown,Silk,L,2500,"Rainy Weather, Festival, Fair Skin, Winter, Comfy, Slim Fit",https://www.mango.com/product/4,32:39.4,3.3,474,2025-08-19 17:36:31
5,21,Casual Classic Cardigans,CARDIGANS,Multi-color,Tencel,M,9000,"Neutral Skin, Business Casual, Formal, Winter, Polka Dot, Floral",https://www2.hm.com/product/5,31:05.6,2.6,245,2025-01-11 17:36:31
6,1,Urban Urban Blazers,BLAZERS,Grey,Denim,XL-XXL,12500,"Skinny Friendly, Streetwear, Polka Dot, Checked, Tall Friendly, Monochrome",https://www.zara.com/product/6,02:05.9,4.2,111,2025-03-29 17:36:31
7,9,Statement Wide Leg Sweatshirts,SWEATSHIRTS,Peach,Corduroy,L,5000,"Cold Weather, Fair Skin, Streetwear, Business Casual, Hot Weather, Formal, Skinny Friendly",https://www.nike.com/product/7,54:58.2,3.5,187,2025-07-14 17:36:31
8,2,Chic Luxury T-Shirts,T-SHIRTS,Yellow,Wool,XL-XXL,2500,"Streetwear, Sporty, Neutral Skin, Minimalist, Travel Friendly, Hot Weather, Party Wear, Monochrome",https://www.zara.com/product/8,29:27.0,3.8,355,2024-08-21 17:36:31
9,7,Elegant Essential Joggers & Pants,JOGGERS & PANTS,Blue,Modal,L,3000,"Preppy, Minimalist, Streetwear, Urban, Oversized, Hipster",https://www.adidas.com/product/9,16:24.1,2.8,248,2025-06-17 17:36:31
10,19,Sporty Chic Chinos,CHINOS,Beige,Leather,M,5500,"Cottagecore, Business Casual, Eco-friendly, Tall Friendly, Vintage",https://www.uniqlo.com/product/10,28:44.0,3.5,496,2024-09-06 17:36:31
