text,label
too expensive,feedback_negative
good morning,greeting
i want to purchase,order_request
show me black joggers under 3000,product_search
buy this now,order_request
thank you,farewell
clear cart,clear_cart
not my style,feedback_negative
are you available,small_talk
clear cart,clear_cart
show me pink sneakers under 9000,product_search
add item two,add_to_cart
i want to purchase,order_request
add first one to cart,add_to_cart
hi,greeting
good evening,greeting
not sure,clarification
idk,clarification
great recommendation,feedback_positive
anything,clarification
anything,clarification
add item two,add_to_cart
add item two,add_to_cart
add this to cart,add_to_cart
exactly what i wanted,feedback_positive
not sure,clarification
remove all items from cart,clear_cart
take care,farewell
checkout now,order_request
show me white skirts under 5000,product_search
good morning,greeting
amazing choices,feedback_positive
show my cart,view_cart
place my order,order_request
anything,clarification
clear cart,clear_cart
thanks bye,farewell
i love this,feedback_positive
show my cart,view_cart
hows your day,small_talk
how is it going,small_talk
buy this now,order_request
checkout now,order_request
thank you,farewell
i love this,feedback_positive
i want to purchase,order_request
how to style navy joggers,styling_advice
how are you,small_talk
buy this now,order_request
take care,farewell
reset cart,clear_cart
show my cart,view_cart
good evening,greeting
hi,greeting
not sure,clarification
maybe,clarification
not my style,feedback_negative
show me something else,feedback_negative
put this item in my cart,add_to_cart
place my order,order_request
view cart,view_cart
check cart items,view_cart
fashion advice for party wear,styling_advice
show my cart,view_cart
are you available,small_talk
checkout now,order_request
hey there,greeting
how is it going,small_talk
clear cart,clear_cart
amazing choices,feedback_positive
find office blazers for women,product_search
remove all items from cart,clear_cart
what's new,small_talk
what's new,small_talk
show me something else,feedback_negative
bye,farewell
not my style,feedback_negative
anything,clarification
anything,clarification
good evening,greeting
find gym shirts for women,product_search
empty my cart,clear_cart
proceed to payment,order_request
show my cart,view_cart
what goes well with dresses,styling_advice
bye,farewell
add this to cart,add_to_cart
delete everything in cart,clear_cart
view cart,view_cart
different options please,feedback_negative
what is in my cart,view_cart
buy this now,order_request
good morning,greeting
recommend black joggers,product_search
view cart,view_cart
outfit tips for gym look,styling_advice
anything,clarification
clear cart,clear_cart
can you help,clarification
different options please,feedback_negative
find party jeans for women,product_search
add this to cart,add_to_cart
find gym jeans for women,product_search
how is it going,small_talk
i dont like this,feedback_negative
i need t shirts for office,product_search
proceed to payment,order_request
reset cart,clear_cart
hi,greeting
good morning,greeting
remove all items from cart,clear_cart
show me something else,feedback_negative
put this item in my cart,add_to_cart
not my style,feedback_negative
what is in my cart,view_cart
show my cart,view_cart
idk,clarification
add this to cart,add_to_cart
view cart,view_cart
add this to cart,add_to_cart
too expensive,feedback_negative
view cart,view_cart
checkout now,order_request
i love this,feedback_positive
i love this,feedback_positive
amazing choices,feedback_positive
anything,clarification
amazing choices,feedback_positive
anything,clarification
i dont like this,feedback_negative
i love this,feedback_positive
i dont like this,feedback_negative
i dont like this,feedback_negative
proceed to payment,order_request
hi,greeting
too expensive,feedback_negative
remove all items from cart,clear_cart
thanks bye,farewell
i want to purchase,order_request
amazing choices,feedback_positive
check cart items,view_cart
good evening,greeting
i dont like this,feedback_negative
add item two,add_to_cart
not sure,clarification
anything,clarification
add first one to cart,add_to_cart
add first one to cart,add_to_cart
what is in my cart,view_cart
good morning,greeting
how to style black blazers,styling_advice
not my style,feedback_negative
not my style,feedback_negative
can you help,clarification
amazing choices,feedback_positive
add item two,add_to_cart
hi,greeting
this is perfect,feedback_positive
add item two,add_to_cart
what goes well with shirts,styling_advice
good evening,greeting
what is in my cart,view_cart
good morning,greeting
what goes well with heels,styling_advice
hello,greeting
different options please,feedback_negative
delete everything in cart,clear_cart
empty my cart,clear_cart
idk,clarification
i want to purchase,order_request
anything,clarification
place my order,order_request
good morning,greeting
are you available,small_talk
how to style green heels,styling_advice
anything,clarification
proceed to payment,order_request
good evening,greeting
reset cart,clear_cart
too expensive,feedback_negative
buy this now,order_request
add first one to cart,add_to_cart
hello,greeting
add this to cart,add_to_cart
maybe,clarification
show my cart,view_cart
clear cart,clear_cart
put this item in my cart,add_to_cart
good evening,greeting
can you help,clarification
hello,greeting
how to style beige sneakers,styling_advice
hello,greeting
i dont like this,feedback_negative
empty my cart,clear_cart
show me something else,feedback_negative
show my cart,view_cart
add first one to cart,add_to_cart
idk,clarification
can you help,clarification
hello,greeting
not my style,feedback_negative
maybe,clarification
checkout now,order_request
can you help,clarification
outfit tips for casual look,styling_advice
put this item in my cart,add_to_cart
reset cart,clear_cart
hi,greeting
how are you,small_talk
thank you,farewell
see you,farewell
this is perfect,feedback_positive
clear cart,clear_cart
how to style green skirts,styling_advice
add first one to cart,add_to_cart
empty my cart,clear_cart
clear cart,clear_cart
what is in my cart,view_cart
add item two,add_to_cart
show me something else,feedback_negative
different options please,feedback_negative
add this to cart,add_to_cart
good evening,greeting
reset cart,clear_cart
idk,clarification
recommend green dresses,product_search
i need shirts for gym,product_search
hey there,greeting
outfit tips for casual look,styling_advice
hows your day,small_talk
maybe,clarification
add item two,add_to_cart
what's new,small_talk
thank you,farewell
place my order,order_request
this is perfect,feedback_positive
are you available,small_talk
too expensive,feedback_negative
put this item in my cart,add_to_cart
reset cart,clear_cart
different options please,feedback_negative
reset cart,clear_cart
open shopping cart,view_cart
i love this,feedback_positive
put this item in my cart,add_to_cart
exactly what i wanted,feedback_positive
add item two,add_to_cart
hi,greeting
add these to my shopping cart,add_to_cart
place my order,order_request
hello,greeting
not sure,clarification
add item two,add_to_cart
great recommendation,feedback_positive
bye,farewell
this is perfect,feedback_positive
take care,farewell
hows your day,small_talk
anything,clarification
i need blazers for beach,product_search
buy this now,order_request
add these to my shopping cart,add_to_cart
hows your day,small_talk
view cart,view_cart
hey there,greeting
hi,greeting
open shopping cart,view_cart
thank you,farewell
different options please,feedback_negative
buy this now,order_request
different options please,feedback_negative
hello,greeting
hey there,greeting
bye,farewell
take care,farewell
how to style red skirts,styling_advice
put this item in my cart,add_to_cart
are you available,small_talk
i want to purchase,order_request
add first one to cart,add_to_cart
hi,greeting
how are you,small_talk
i want to purchase,order_request
amazing choices,feedback_positive
what goes well with t shirts,styling_advice
put this item in my cart,add_to_cart
different options please,feedback_negative
hello,greeting
good evening,greeting
show me beige dresses under 5000,product_search
remove all items from cart,clear_cart
not my style,feedback_negative
check cart items,view_cart
recommend pink joggers,product_search
fashion advice for casual wear,styling_advice
hey there,greeting
can you help,clarification
can you help,clarification
bye,farewell
add first one to cart,add_to_cart
hey there,greeting
add these to my shopping cart,add_to_cart
outfit tips for party look,styling_advice
view cart,view_cart
find party heels for women,product_search
view cart,view_cart
show my cart,view_cart
put this item in my cart,add_to_cart
open shopping cart,view_cart
amazing choices,feedback_positive
i want to purchase,order_request
thanks bye,farewell
remove all items from cart,clear_cart
add this to cart,add_to_cart
good evening,greeting
add first one to cart,add_to_cart
bye,farewell
empty my cart,clear_cart
i want to purchase,order_request
add these to my shopping cart,add_to_cart
thank you,farewell
great recommendation,feedback_positive
what is in my cart,view_cart
delete everything in cart,clear_cart
remove all items from cart,clear_cart
can you help,clarification
fashion advice for office wear,styling_advice
what goes well with joggers,styling_advice
are you available,small_talk
maybe,clarification
amazing choices,feedback_positive
check cart items,view_cart
this is perfect,feedback_positive
empty my cart,clear_cart
exactly what i wanted,feedback_positive
anything,clarification
add first one to cart,add_to_cart
good evening,greeting
how are you,small_talk
i need shirts for party,product_search
recommend beige heels,product_search
fashion advice for beach wear,styling_advice
hows your day,small_talk
empty my cart,clear_cart
idk,clarification
how are you,small_talk
add first one to cart,add_to_cart
good morning,greeting
find beach t shirts for women,product_search
good evening,greeting
too expensive,feedback_negative
are you available,small_talk
clear cart,clear_cart
can you help,clarification
fashion advice for gym wear,styling_advice
checkout now,order_request
recommend black blazers,product_search
hows your day,small_talk
i need heels for casual,product_search
show me red blazers under 5000,product_search
exactly what i wanted,feedback_positive
checkout now,order_request
anything,clarification
not sure,clarification
too expensive,feedback_negative
different options please,feedback_negative
hey there,greeting
check cart items,view_cart
great recommendation,feedback_positive
not sure,clarification
what's new,small_talk
fashion advice for casual wear,styling_advice
how is it going,small_talk
can you help,clarification
see you,farewell
find party blazers for women,product_search
hows your day,small_talk
see you,farewell
proceed to payment,order_request
take care,farewell
idk,clarification
find casual blazers for women,product_search
good morning,greeting
bye,farewell
checkout now,order_request
bye,farewell
show me navy dresses under 12000,product_search
clear cart,clear_cart
can you help,clarification
view cart,view_cart
how are you,small_talk
idk,clarification
add these to my shopping cart,add_to_cart
add these to my shopping cart,add_to_cart
bye,farewell
reset cart,clear_cart
what is in my cart,view_cart
not my style,feedback_negative
i need t shirts for party,product_search
maybe,clarification
how are you,small_talk
open shopping cart,view_cart
great recommendation,feedback_positive
outfit tips for wedding look,styling_advice
are you available,small_talk
hows your day,small_talk
i want to purchase,order_request
view cart,view_cart
view cart,view_cart
hello,greeting
add this to cart,add_to_cart
show my cart,view_cart
outfit tips for party look,styling_advice
what's new,small_talk
clear cart,clear_cart
amazing choices,feedback_positive
add first one to cart,add_to_cart
i need shirts for casual,product_search
place my order,order_request
take care,farewell
proceed to payment,order_request
see you,farewell
not sure,clarification
recommend beige blazers,product_search
recommend green heels,product_search
show me black shirts under 12000,product_search
checkout now,order_request
proceed to payment,order_request
good evening,greeting
checkout now,order_request
add these to my shopping cart,add_to_cart
bye,farewell
show me something else,feedback_negative
what's new,small_talk
put this item in my cart,add_to_cart
not my style,feedback_negative
thanks bye,farewell
what is in my cart,view_cart
add item two,add_to_cart
this is perfect,feedback_positive
see you,farewell
not sure,clarification
see you,farewell
checkout now,order_request
open shopping cart,view_cart
can you help,clarification
hi,greeting
take care,farewell
great recommendation,feedback_positive
add this to cart,add_to_cart
anything,clarification
can you help,clarification
how are you,small_talk
view cart,view_cart
hows your day,small_talk
outfit tips for beach look,styling_advice
view cart,view_cart
i love this,feedback_positive
open shopping cart,view_cart
show me something else,feedback_negative
find office blazers for women,product_search
great recommendation,feedback_positive
thank you,farewell
how to style pink blazers,styling_advice
i need sneakers for wedding,product_search
show me navy sneakers under 12000,product_search
hey there,greeting
amazing choices,feedback_positive
place my order,order_request
not sure,clarification
great recommendation,feedback_positive
bye,farewell
place my order,order_request
show me white skirts under 9000,product_search
fashion advice for party wear,styling_advice
anything,clarification
reset cart,clear_cart
different options please,feedback_negative
see you,farewell
check cart items,view_cart
how are you,small_talk
maybe,clarification
amazing choices,feedback_positive
i dont like this,feedback_negative
i need heels for casual,product_search
place my order,order_request
what is in my cart,view_cart
checkout now,order_request
hows your day,small_talk
good evening,greeting
add first one to cart,add_to_cart
place my order,order_request
open shopping cart,view_cart
hows your day,small_talk
too expensive,feedback_negative
thanks bye,farewell
find office dresses for women,product_search
thanks bye,farewell
how is it going,small_talk
i dont like this,feedback_negative
i love this,feedback_positive
add this to cart,add_to_cart
not sure,clarification
checkout now,order_request
i dont like this,feedback_negative
checkout now,order_request
find office t shirts for women,product_search
great recommendation,feedback_positive
how are you,small_talk
this is perfect,feedback_positive
amazing choices,feedback_positive
too expensive,feedback_negative
add this to cart,add_to_cart
thank you,farewell
check cart items,view_cart
how to style pink t shirts,styling_advice
hi,greeting
good evening,greeting
how to style white jeans,styling_advice
hello,greeting
how are you,small_talk
hey there,greeting
thank you,farewell
i want to purchase,order_request
recommend white jeans,product_search
hey there,greeting
amazing choices,feedback_positive
remove all items from cart,clear_cart
maybe,clarification
hello,greeting
hi,greeting
bye,farewell
thanks bye,farewell
open shopping cart,view_cart
delete everything in cart,clear_cart
exactly what i wanted,feedback_positive
checkout now,order_request
hi,greeting
proceed to payment,order_request
different options please,feedback_negative
anything,clarification
delete everything in cart,clear_cart
i need blazers for party,product_search
exactly what i wanted,feedback_positive
i need blazers for office,product_search
hello,greeting
reset cart,clear_cart
can you help,clarification
show me red t shirts under 7000,product_search
open shopping cart,view_cart
add item two,add_to_cart
put this item in my cart,add_to_cart
recommend black shirts,product_search
delete everything in cart,clear_cart
thanks bye,farewell
show me something else,feedback_negative
thanks bye,farewell
this is perfect,feedback_positive
checkout now,order_request
see you,farewell
what is in my cart,view_cart
i want to purchase,order_request
hi,greeting
put this item in my cart,add_to_cart
recommend beige heels,product_search
different options please,feedback_negative
fashion advice for beach wear,styling_advice
add these to my shopping cart,add_to_cart
outfit tips for wedding look,styling_advice
too expensive,feedback_negative
proceed to payment,order_request
are you available,small_talk
fashion advice for casual wear,styling_advice
show my cart,view_cart
clear cart,clear_cart
what's new,small_talk
thanks bye,farewell
maybe,clarification
find gym dresses for women,product_search
exactly what i wanted,feedback_positive
amazing choices,feedback_positive
how is it going,small_talk
different options please,feedback_negative
what goes well with sneakers,styling_advice
checkout now,order_request
can you help,clarification
add first one to cart,add_to_cart
proceed to payment,order_request
maybe,clarification
not sure,clarification
exactly what i wanted,feedback_positive
not my style,feedback_negative
can you help,clarification
add these to my shopping cart,add_to_cart
exactly what i wanted,feedback_positive
anything,clarification
i dont like this,feedback_negative
show me something else,feedback_negative
what's new,small_talk
recommend red joggers,product_search
show me navy sneakers under 12000,product_search
empty my cart,clear_cart
how to style blue heels,styling_advice
checkout now,order_request
clear cart,clear_cart
exactly what i wanted,feedback_positive
not sure,clarification
add item two,add_to_cart
add first one to cart,add_to_cart
checkout now,order_request
see you,farewell
empty my cart,clear_cart
find party t shirts for women,product_search
see you,farewell
i want to purchase,order_request
exactly what i wanted,feedback_positive
place my order,order_request
amazing choices,feedback_positive
maybe,clarification
great recommendation,feedback_positive
open shopping cart,view_cart
fashion advice for beach wear,styling_advice
good morning,greeting
empty my cart,clear_cart
show my cart,view_cart
thanks bye,farewell
what goes well with heels,styling_advice
fashion advice for beach wear,styling_advice
take care,farewell
clear cart,clear_cart
are you available,small_talk
recommend green blazers,product_search
clear cart,clear_cart
different options please,feedback_negative
how are you,small_talk
show my cart,view_cart
view cart,view_cart
good morning,greeting
show my cart,view_cart
are you available,small_talk
what's new,small_talk
place my order,order_request
checkout now,order_request
hey there,greeting
outfit tips for gym look,styling_advice
add these to my shopping cart,add_to_cart
i love this,feedback_positive
recommend blue heels,product_search
i need sneakers for office,product_search
delete everything in cart,clear_cart
show me black joggers under 3000,product_search
hows your day,small_talk
recommend black joggers,product_search
see you,farewell
open shopping cart,view_cart
exactly what i wanted,feedback_positive
what's new,small_talk
good morning,greeting
thank you,farewell
find beach heels for women,product_search
check cart items,view_cart
how to style pink t shirts,styling_advice
add this to cart,add_to_cart
