product_id,shop_id,name,category,color,fabric,size_range,price_lkr,style_tags,product_url,created_ts,popularity_score,stock_count,_ingestion_ts,_source_file,_ingestion_date,_cleaned_at,_dq_score,category_standardized,color_standardized,fabric_standardized,price_category,stock_status,semantic_tags,_enriched_at
1.0,8.0,,beach wear,navy,wool,l,3000.0,"tall friendly, checked, monochrome, sporty, dark skin, athleisure, curvy friendly, patterned",https://casualcorner.com/product/1,19:51.6,3.4,28.0,2026-01-01 20:52:37.060285,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-01-01,2026-01-01T15:26:06.693705,97,BEACH WEAR,Navy,Wool,Mid-Range,In Stock,"beach wear, navy, wool, mid-range, in stock",2026-03-10T02:08:42.722027
2.0,15.0,luxury rustic coats,coats,checked,polyester,xl-xxl,14000.0,"floral, formal, comfy, checked, petite friendly, dark skin, cold weather, medium skin",https://arena.com/product/2,46:58.1,4.6,15.0,2026-01-01 20:52:37.060285,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-01-01,2026-01-01T15:26:06.693705,97,COATS,Checked,Polyester,Premium,In Stock,"coats, checked, polyester, premium, in stock",2026-03-10T02:08:42.722027
3.0,3.0,vintage oversized beach wear,beach wear,mustard,velvet,xs-s,5000.0,"dark skin, eco-friendly, edgy, hipster, business casual, y2k, travel friendly",https://hameedia.com/product/3,,2.7,39.0,2026-01-01 20:52:37.060285,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-01-01,2026-01-01T15:26:06.693705,97,BEACH WEAR,Mustard,Velvet,Premium,In Stock,"beach wear, mustard, velvet, premium, in stock",2026-03-10T02:08:42.722027
4.0,12.0,sporty textured t-shirts,t-shirts,brown,silk,l,2500.0,"rainy weather, festival, fair skin, winter, comfy, slim fit",,32:39.4,4.9,5.0,2026-01-01 20:52:37.060285,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-01-01,2026-01-01T15:26:06.693705,97,T-SHIRTS,Brown,Silk,Mid-Range,In Stock,"t-shirts, brown, silk, mid-range, in stock",2026-03-10T02:08:42.722027
5.0,21.0,casual classic cardigans,cardigans,multi-color,tencel,m,9000.0,"neutral skin, business casual, formal, winter, polka dot, floral",https://elements.com/product/5,31:05.6,2.9,18.0,2026-01-01 20:52:37.060285,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-01-01,2026-01-01T15:26:06.693705,97,CARDIGANS,Multi-Color,Tencel,Premium,In Stock,"cardigans, multi-color, tencel, premium, in stock",2026-03-10T02:08:42.722027
6.0,1.0,urban urban blazers,blazers,grey,denim,xl-xxl,12500.0,"skinny friendly, streetwear, polka dot, checked, tall friendly, monochrome",https://foa.com/product/6,02:05.9,2.7,13.0,2026-01-01 20:52:37.060285,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-01-01,2026-01-01T15:26:06.693705,97,BLAZERS,Grey,Denim,Premium,In Stock,"blazers, grey, denim, premium, in stock",2026-03-10T02:08:42.722027
7.0,9.0,statement wide leg sweatshirts,sweatshirts,peach,corduroy,l,,"cold weather, fair skin, streetwear, business casual, hot weather, formal, skinny friendly",https://houseoffashion.com/product/7,54:58.2,4.5,29.0,2026-01-01 20:52:37.060285,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-01-01,2026-01-01T15:26:06.693705,97,SWEATSHIRTS,Peach,Corduroy,Premium,In Stock,"sweatshirts, peach, corduroy, premium, in stock",2026-03-10T02:08:42.722027
8.0,2.0,chic luxury t-shirts,t-shirts,yellow,wool,xl-xxl,2500.0,"streetwear, sporty, neutral skin, minimalist, travel friendly, hot weather, party wear, monochrome",https://incarnage.com/product/8,29:27.0,3.7,50.0,2026-01-01 20:52:37.060285,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-01-01,2026-01-01T15:26:06.693705,97,T-SHIRTS,Yellow,Wool,Mid-Range,In Stock,"t-shirts, yellow, wool, mid-range, in stock",2026-03-10T02:08:42.722027
9.0,7.0,elegant essential joggers & pants,joggers & pants,blue,modal,l,3000.0,"preppy, minimalist, streetwear, urban, oversized, hipster",https://dresssmart.com/product/9,16:24.1,2.9,36.0,2026-01-01 20:52:37.060285,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-01-01,2026-01-01T15:26:06.693705,97,JOGGERS & PANTS,Blue,Modal,Mid-Range,In Stock,"joggers & pants, blue, modal, mid-range, in stock",2026-03-10T02:08:42.722027
10.0,19.0,sporty chic chinos,chinos,beige,leather,m,5500.0,"cottagecore, business casual, eco-friendly, tall friendly, vintage",https://skylineclothing.com/product/10,28:44.0,3.5,41.0,2026-01-01 20:52:37.060285,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-01-01,2026-01-01T15:26:06.693705,97,CHINOS,Beige,Leather,Premium,In Stock,"chinos, beige, leather, premium, in stock",2026-03-10T02:08:42.722027
