query,style,event,budget
need a formal sneakers suitable for office and luxury,formal,office,high
show me black saree in formal style for beach premium,formal,beach,high
find red dress for party with a high budget and streetwear look,streetwear,party,high
find black sneakers for daily wear with a high budget and streetwear look,streetwear,daily_wear,high
show me beige jeans in ethnic style for travel under 3000,ethnic,travel,low
find green heels for beach with a mid budget and athleisure look,athleisure,beach,mid
recommend formal outfit for date night in green affordable,formal,date_night,low
need a streetwear jeans suitable for beach and under 3000,streetwear,beach,low
recommend formal outfit for date night in beige around 6000,formal,date_night,mid
need a ethnic sneakers suitable for party and high end,ethnic,party,high
recommend streetwear outfit for wedding in green around 6000,streetwear,wedding,mid
show me pink heels in casual style for party budget friendly,casual,party,low
need a streetwear jacket suitable for gym and cheap,streetwear,gym,low
find green kurta for wedding with a low budget and minimal look,minimal,wedding,low
show me navy blazer in athleisure style for gym under 3000,athleisure,gym,low
show me pink blazer in formal style for wedding high end,formal,wedding,high
show me green jacket in athleisure style for date night high end,athleisure,date_night,high
find white heels for travel with a high budget and formal look,formal,travel,high
show me blue sneakers in boho style for daily wear affordable,boho,daily_wear,low
"looking for minimal wear for party, affordable",minimal,party,low
recommend casual outfit for gym in white mid range,casual,gym,mid
show me white shirt in streetwear style for office cheap,streetwear,office,low
"looking for boho wear for wedding, designer",boho,wedding,high
recommend athleisure outfit for party in green under 15000,athleisure,party,high
recommend smart casual outfit for daily wear in red under 3000,smart_casual,daily_wear,low
show me black jeans in casual style for party premium,casual,party,high
need a streetwear heels suitable for beach and affordable,streetwear,beach,low
"looking for minimal wear for daily wear, affordable",minimal,daily_wear,low
show me red saree in smart casual style for party under 7000,smart_casual,party,mid
show me navy saree in athleisure style for gym under 7000,athleisure,gym,mid
need a casual heels suitable for date night and luxury,casual,date_night,high
find blue saree for daily wear with a low budget and streetwear look,streetwear,daily_wear,low
"looking for streetwear wear for beach, under 7000",streetwear,beach,mid
find pink blazer for beach with a low budget and casual look,casual,beach,low
find pink blazer for date night with a low budget and streetwear look,streetwear,date_night,low
need a minimal saree suitable for daily wear and around 6000,minimal,daily_wear,mid
show me black kurta in minimal style for party budget friendly,minimal,party,low
"looking for casual wear for daily wear, premium",casual,daily_wear,high
show me red shirt in formal style for wedding cheap,formal,wedding,low
"looking for streetwear wear for office, high end",streetwear,office,high
find red heels for travel with a low budget and ethnic look,ethnic,travel,low
find white heels for travel with a mid budget and boho look,boho,travel,mid
recommend formal outfit for beach in green luxury,formal,beach,high
"looking for formal wear for party, quality for price",formal,party,mid
need a minimal kurta suitable for office and premium,minimal,office,high
recommend minimal outfit for beach in blue budget friendly,minimal,beach,low
show me navy sneakers in streetwear style for gym budget friendly,streetwear,gym,low
need a formal dress suitable for date night and mid range,formal,date_night,mid
show me pink jacket in minimal style for wedding high end,minimal,wedding,high
"looking for formal wear for beach, designer",formal,beach,high
show me green dress in boho style for date night budget friendly,boho,date_night,low
"looking for ethnic wear for party, designer",ethnic,party,high
show me blue blazer in athleisure style for wedding cheap,athleisure,wedding,low
show me green jeans in boho style for gym around 6000,boho,gym,mid
recommend athleisure outfit for office in red quality for price,athleisure,office,mid
recommend minimal outfit for party in red cheap,minimal,party,low
show me pink heels in minimal style for beach mid range,minimal,beach,mid
"looking for formal wear for travel, under 3000",formal,travel,low
"looking for athleisure wear for gym, high end",athleisure,gym,high
find green jeans for date night with a high budget and formal look,formal,date_night,high
"looking for casual wear for party, mid range",casual,party,mid
recommend ethnic outfit for beach in green under 15000,ethnic,beach,high
find red blazer for travel with a high budget and athleisure look,athleisure,travel,high
recommend boho outfit for travel in black mid range,boho,travel,mid
find navy heels for date night with a high budget and streetwear look,streetwear,date_night,high
"looking for streetwear wear for daily wear, designer",streetwear,daily_wear,high
need a ethnic sneakers suitable for beach and below 2500,ethnic,beach,low
find white jacket for office with a low budget and casual look,casual,office,low
