product_id,name,category,color,fabric,price,price_category,stock_status,semantic_tags,_enriched_at,_curated_at,_dataset_type
1.0,,BEACH WEAR,Navy,Wool,3000.0,Mid-Range,In Stock,"beach wear, navy, wool, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
2.0,luxury rustic coats,COATS,Checked,Polyester,14000.0,Premium,In Stock,"coats, checked, polyester, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
3.0,vintage oversized beach wear,BEACH WEAR,Mustard,Velvet,5000.0,Premium,In Stock,"beach wear, mustard, velvet, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
4.0,sporty textured t-shirts,T-SHIRTS,Brown,Silk,2500.0,Mid-Range,In Stock,"t-shirts, brown, silk, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
5.0,casual classic cardigans,CARDIGANS,Multi-Color,Tencel,9000.0,Premium,In Stock,"cardigans, multi-color, tencel, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
6.0,urban urban blazers,BLAZERS,Grey,Denim,12500.0,Premium,In Stock,"blazers, grey, denim, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
7.0,statement wide leg sweatshirts,SWEATSHIRTS,Peach,Corduroy,,Premium,In Stock,"sweatshirts, peach, corduroy, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
8.0,chic luxury t-shirts,T-SHIRTS,Yellow,Wool,2500.0,Mid-Range,In Stock,"t-shirts, yellow, wool, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
9.0,elegant essential joggers & pants,JOGGERS & PANTS,Blue,Modal,3000.0,Mid-Range,In Stock,"joggers & pants, blue, modal, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
10.0,sporty chic chinos,CHINOS,Beige,Leather,5500.0,Premium,In Stock,"chinos, beige, leather, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
11.0,lightweight heritage joggers & pants,JOGGERS & PANTS,Orange,Fleece,2500.0,Mid-Range,In Stock,"joggers & pants, orange, fleece, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
12.0,tailored soft coats,COATS,Chocolate,Leather,14500.0,Premium,Low Stock,"coats, chocolate, leather, premium, low stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
13.0,layered textured denim jackets,DENIM JACKETS,Blue,Leather,11000.0,Premium,In Stock,"denim jackets, blue, leather, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
14.0,smart oversized joggers & pants,JOGGERS & PANTS,White,Wool,4500.0,Mid-Range,In Stock,"joggers & pants, white, wool, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
15.0,statement edgy utility pants,UTILITY PANTS,Striped,Modal,12000.0,Premium,In Stock,"utility pants, striped, modal, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
16.0,layered casual track pants,TRACK PANTS,Chocolate,Cotton,3000.0,Mid-Range,In Stock,"track pants, chocolate, cotton, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
17.0,chic comfy joggers & pants,JOGGERS & PANTS,Chocolate,Wool,4000.0,Mid-Range,In Stock,"joggers & pants, chocolate, wool, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
18.0,soft edgy beach wear,BEACH WEAR,Mint,Linen,,Premium,In Stock,"beach wear, mint, linen, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
19.0,patterned chic cardigans,CARDIGANS,Black,Bamboo,10000.0,Premium,In Stock,"cardigans, black, bamboo, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
20.0,heritage minimalist blazers,BLAZERS,Orange,Unknown,9500.0,Premium,In Stock,"blazers, orange, unknown, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
21.0,luxury textured track pants,TRACK PANTS,Blush,Modal,2500.0,Mid-Range,In Stock,"track pants, blush, modal, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
22.0,camo relaxed shorts,SHORTS,Peach,Silk,3000.0,Mid-Range,In Stock,"shorts, peach, silk, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
23.0,elegant wide leg coats,COATS,Mint,Polyester,9000.0,Premium,In Stock,"coats, mint, polyester, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
24.0,bright bold blazers,BLAZERS,Red,Wool,14000.0,Premium,In Stock,"blazers, red, wool, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
