product_id,name,category,stock_count,stock_status,price,_curated_at,_dataset_type
1.0,,BEACH WEAR,28.0,In Stock,3000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
2.0,luxury rustic coats,COATS,15.0,In Stock,14000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
3.0,vintage oversized beach wear,BEACH WEAR,39.0,In Stock,5000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
4.0,sporty textured t-shirts,T-SHIRTS,5.0,In Stock,2500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
5.0,casual classic cardigans,CARDIGANS,18.0,In Stock,9000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
6.0,urban urban blazers,BLAZERS,13.0,In Stock,12500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
7.0,statement wide leg sweatshirts,SWEATSHIRTS,29.0,In Stock,,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
8.0,chic luxury t-shirts,T-SHIRTS,50.0,In Stock,2500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
9.0,elegant essential joggers & pants,JOGGERS & PANTS,36.0,In Stock,3000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
10.0,sporty chic chinos,CHINOS,41.0,In Stock,5500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
11.0,lightweight heritage joggers & pants,JOGGERS & PANTS,18.0,In Stock,2500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
12.0,tailored soft coats,COATS,2.0,Low Stock,14500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
13.0,layered textured denim jackets,DENIM JACKETS,11.0,In Stock,11000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
14.0,smart oversized joggers & pants,JOGGERS & PANTS,36.0,In Stock,4500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
15.0,statement edgy utility pants,UTILITY PANTS,6.0,In Stock,12000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
16.0,layered casual track pants,TRACK PANTS,9.0,In Stock,3000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
17.0,chic comfy joggers & pants,JOGGERS & PANTS,24.0,In Stock,4000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
18.0,soft edgy beach wear,BEACH WEAR,45.0,In Stock,,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
19.0,patterned chic cardigans,CARDIGANS,33.0,In Stock,10000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
20.0,heritage minimalist blazers,BLAZERS,13.0,In Stock,9500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
21.0,luxury textured track pants,TRACK PANTS,50.0,In Stock,2500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
22.0,camo relaxed shorts,SHORTS,24.0,In Stock,3000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
23.0,elegant wide leg coats,COATS,21.0,In Stock,9000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
24.0,bright bold blazers,BLAZERS,23.0,In Stock,14000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
25.0,bright oversized chinos,CHINOS,43.0,In Stock,5500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
26.0,,UTILITY PANTS,40.0,In Stock,10000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
27.0,functional functional oversize tee,OVERSIZE TEE,21.0,In Stock,4000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
28.0,wide leg comfy oversize tee,OVERSIZE TEE,18.0,In Stock,4000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
29.0,layered casual track pants,TRACK PANTS,28.0,In Stock,5000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
30.0,functional minimalist chinos,CHINOS,0.0,Out of Stock,4500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
31.0,luxury heritage t-shirts,T-SHIRTS,41.0,In Stock,5000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
32.0,structured comfy chinos,CHINOS,33.0,In Stock,4000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
33.0,vintage vintage denim jackets,DENIM JACKETS,10.0,In Stock,9000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
34.0,textured structured shorts,SHORTS,39.0,In Stock,4000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
35.0,chic camo t-shirts,T-SHIRTS,2.0,Low Stock,3000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
36.0,essential urban shorts,SHORTS,22.0,In Stock,3000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
37.0,neutral relaxed joggers & pants,JOGGERS & PANTS,22.0,In Stock,5000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
38.0,statement smart beach wear,BEACH WEAR,43.0,In Stock,5500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
39.0,wide leg minimalist cardigans,CARDIGANS,16.0,In Stock,10500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
40.0,edgy retro oversize tee,OVERSIZE TEE,5.0,In Stock,4000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
41.0,classic tailored t-shirts,T-SHIRTS,13.0,In Stock,4500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
42.0,luxury classic cardigans,CARDIGANS,22.0,In Stock,,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
43.0,vintage vintage beach wear,BEACH WEAR,25.0,In Stock,3000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
44.0,statement relaxed polos,POLOS,7.0,In Stock,4500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
45.0,relaxed bold chinos,CHINOS,44.0,In Stock,4000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
46.0,,BLAZERS,31.0,In Stock,12000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
47.0,urban luxury kimono,KIMONO,,In Stock,12500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
48.0,camo sporty hoodies & jackets,HOODIES & JACKETS,5.0,In Stock,13000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
49.0,structured oversized hoodies & jackets,HOODIES & JACKETS,13.0,In Stock,10500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
50.0,relaxed bold beach wear,BEACH WEAR,12.0,In Stock,5000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
51.0,oversized relaxed sweatshirts,SWEATSHIRTS,4.0,Low Stock,4000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
52.0,vintage preppy utility pants,NAN,6.0,In Stock,11500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
53.0,urban bright kimono,KIMONO,22.0,In Stock,9000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
54.0,lightweight sporty t-shirts,T-SHIRTS,44.0,In Stock,5000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
55.0,casual layered coats,COATS,29.0,In Stock,13500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
56.0,edgy preppy blazers,BLAZERS,35.0,In Stock,9500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
