anchor,positive,negative
"luxury textured hoodies & jackets hoodies & jackets off-white modal casual, patterned, vintage, layering, winter","comfy classic oversize tee oversize tee off-white modal tall friendly, summer, medium skin, business casual, curvy friendly","layered tailored beach wear beach wear red linen athleisure, office wear, monochrome, oversized, hot weather, autumn, y2k, vintage"
"neutral edgy chinos chinos peach polyester autumn, petite friendly, tall friendly, fair skin, monochrome","rustic essential kimono kimono peach polyester checked, travel friendly, polka dot, tall friendly, formal","casual sporty blazers blazers yellow velvet office wear, autumn, sporty, monochrome, comfy, urban"
"oversized patterned beach wear beach wear crimson cotton cold weather, festival, formal, cottagecore, hot weather, athleisure","slim fit retro beach wear beach wear multi-color denim medium skin, vintage, hot weather, checked, minimalist, neutral skin, monochrome","minimalist patterned hoodies & jackets hoodies & jackets olive linen summer, dark skin, petite friendly, urban, medium skin"
"oversized tailored shorts shorts plaid linen fair skin, winter, streetwear, preppy, cold weather, beach wear, old money, summer","patterned edgy beach wear beach wear plaid wool streetwear, oversized, vintage, sporty, monochrome, fair skin","slim fit soft t-shirts t-shirts pastel pink denim tall friendly, spring, curvy friendly, formal, vintage, summer, layering, urban"
"vintage layered chinos chinos nude polyester curvy friendly, patterned, tall friendly, polka dot, spring, streetwear","modern tailored t-shirts t-shirts nude leather luxury, oversized, tall friendly, formal, monochrome, spring, skinny friendly","retro classic coats coats striped fleece festival, business casual, party wear, office wear, winter, rainy weather"
"elegant sporty sweatshirts sweatshirts coral cotton cold weather, formal, travel friendly, slim fit, hot weather, polka dot, neutral skin, skinny friendly","wide leg smart sweatshirts sweatshirts tan wool hipster, casual, business casual, hot weather, layering, checked","textured luxury oversize tee oversize tee checked jacquard fair skin, party wear, hipster, dark skin, sporty, travel friendly, old money"
"tailored patterned kimono kimono coral wool tall friendly, monochrome, formal, hot weather, party wear, oversized","camo soft beach wear beach wear coral tencel streetwear, slim fit, rainy weather, festival, layering, formal, vintage, patterned","soft edgy beach wear beach wear mint linen petite friendly, patterned, hipster, business casual, cold weather, monochrome"
"trendy modern chinos chinos coral silk athleisure, autumn, checked, preppy, edgy","urban smart coats coats coral denim floral, hot weather, comfy, y2k, summer, curvy friendly","retro casual chinos chinos checked modal hipster, eco-friendly, tall friendly, cottagecore, casual, spring"
"comfy textured denim jackets denim jackets nude modal spring, casual, polka dot, comfy, cottagecore, autumn, dark skin","structured casual denim jackets denim jackets teal velvet preppy, curvy friendly, comfy, festival, y2k, slim fit, petite friendly","dynamic oversized polos polos orange tencel rainy weather, stripes, fair skin, summer, formal"
"classic structured sweatshirts sweatshirts plaid rayon autumn, eco-friendly, hot weather, layering, monochrome, comfy, business casual","oversized tailored shorts shorts plaid linen fair skin, winter, streetwear, preppy, cold weather, beach wear, old money, summer","modern luxury joggers & pants joggers & pants checked modal travel friendly, sporty, skinny friendly, spring, summer"
"modern modern utility pants utility pants off-white linen formal, vintage, dark skin, comfy, business casual","rustic soft chinos chinos off-white denim beach wear, minimalist, spring, eco-friendly, travel friendly, cold weather, polka dot, slim fit","heritage modern cardigans cardigans camouflage polyester monochrome, business casual, eco-friendly, athleisure, oversized, stripes, summer"
"textured refined sweatshirts sweatshirts navy rayon casual, autumn, curvy friendly, medium skin, cottagecore","patterned structured sweatshirts sweatshirts blush silk spring, edgy, business casual, floral, skinny friendly, polka dot, layering, sporty","retro sporty utility pants utility pants pastel pink silk cottagecore, hot weather, old money, tall friendly, sporty, beach wear"
"lightweight heritage joggers & pants joggers & pants orange fleece office wear, petite friendly, hot weather, minimalist, party wear, polka dot, summer","heritage minimalist blazers blazers orange linen office wear, spring, eco-friendly, y2k, hipster","essential heritage t-shirts t-shirts tie-dye cotton rainy weather, curvy friendly, comfy, autumn, sporty, skinny friendly, vintage, eco-friendly"
"retro soft kimono kimono off-white rayon party wear, patterned, medium skin, travel friendly, preppy, formal, hipster, floral","functional functional kimono kimono maroon tencel eco-friendly, sporty, casual, y2k, party wear, vintage, curvy friendly, tall friendly","dynamic trendy cardigans cardigans peach velvet cottagecore, medium skin, party wear, office wear, slim fit, urban"
"sporty edgy track pants track pants brown velvet dark skin, old money, autumn, party wear, winter","textured edgy track pants track pants plaid cotton checked, winter, rainy weather, floral, business casual, petite friendly, party wear","elegant bright coats coats plaid leather cold weather, streetwear, y2k, office wear, old money"
checked kimono linen,"urban bright kimono kimono red tencel office wear, hot weather, slim fit, medium skin, monochrome","luxury elegant track pants track pants navy polyester checked, luxury, hot weather, dark skin, skinny friendly, curvy friendly, minimalist, sporty"
"preppy essential polos polos polka dot denim comfy, travel friendly, luxury, spring, y2k, medium skin, layering","edgy tailored polos polos peach jacquard winter, comfy, business casual, autumn, beach wear, hipster","slim fit functional joggers & pants joggers & pants brown velvet checked, beach wear, dark skin, eco-friendly, neutral skin"
"structured lightweight blazers blazers green modal hipster, neutral skin, vintage, party wear, stripes, eco-friendly, oversized","oversized bright beach wear beach wear green cotton floral, luxury, preppy, minimalist, petite friendly, oversized","retro comfy hoodies & jackets hoodies & jackets blue jacquard dark skin, cold weather, luxury, petite friendly, sporty, festival, medium skin"
"structured wide leg oversize tee oversize tee blue leather rainy weather, party wear, patterned, edgy, urban, comfy, monochrome","trendy refined track pants track pants blue linen athleisure, casual, checked, autumn, stripes, curvy friendly, beach wear, old money","refined smart t-shirts t-shirts yellow linen beach wear, polka dot, checked, dark skin, old money, cottagecore, medium skin, y2k"
orange blazers velvet,"heritage minimalist blazers blazers orange linen office wear, spring, eco-friendly, y2k, hipster","layered wide leg oversize tee oversize tee yellow tencel layering, petite friendly, checked, oversized, polka dot"
"structured bright cardigans cardigans navy linen winter, tall friendly, office wear, old money, floral, y2k, athleisure","heritage structured sweatshirts sweatshirts navy rayon polka dot, hipster, travel friendly, old money, preppy, sporty, business casual","chic essential shorts shorts pastel pink cotton dark skin, urban, luxury, tall friendly, polka dot, petite friendly, sporty, cottagecore"
"slim fit vintage beach wear beach wear crimson leather vintage, office wear, athleisure, tall friendly, edgy, skinny friendly, minimalist","rustic essential tanks tanks crimson jacquard floral, dark skin, neutral skin, old money, sporty","trendy casual polos polos navy corduroy rainy weather, medium skin, summer, spring, preppy, polka dot, y2k, monochrome"
"classic slim fit kimono kimono striped modal business casual, oversized, layering, spring, minimalist","camo sporty kimono kimono charcoal modal stripes, spring, hipster, checked, party wear, polka dot, floral, rainy weather","vintage camo chinos chinos coral polyester beach wear, office wear, minimalist, preppy, medium skin, hot weather"
"layered bright blazers blazers tan silk layering, floral, streetwear, checked, y2k, preppy","modern bold blazers blazers pastel pink bamboo office wear, skinny friendly, spring, comfy, old money","smart relaxed tanks tanks tan jacquard rainy weather, travel friendly, polka dot, minimalist, stripes"
"essential urban shorts shorts navy cotton urban, stripes, petite friendly, edgy, sporty, business casual, polka dot","neutral relaxed joggers & pants joggers & pants navy cotton office wear, checked, eco-friendly, sporty, party wear, medium skin, business casual","elegant comfy polos polos teal silk y2k, slim fit, winter, tall friendly, layering"
"urban sporty track pants track pants yellow linen urban, old money, comfy, monochrome, rainy weather, slim fit, neutral skin","statement luxury track pants track pants pastel pink denim monochrome, summer, patterned, hot weather, beach wear, y2k, casual, curvy friendly","statement statement joggers & pants joggers & pants green jacquard office wear, summer, stripes, y2k, sporty, luxury, dark skin, cold weather"
"preppy bright shorts shorts yellow velvet casual, slim fit, fair skin, medium skin, old money, sporty, business casual","slim fit luxury shorts shorts yellow corduroy rainy weather, summer, stripes, edgy, hipster, festival, hot weather, minimalist","soft lightweight beach wear beach wear peach polyester party wear, layering, minimalist, streetwear, urban, hipster"
"layered heritage t-shirts t-shirts olive jacquard slim fit, cottagecore, preppy, winter, patterned, eco-friendly, monochrome","structured comfy t-shirts t-shirts blush leather edgy, office wear, casual, minimalist, dark skin, slim fit","rustic smart denim jackets denim jackets polka dot modal eco-friendly, casual, autumn, old money, spring, festival, tall friendly, office wear"
"bright bold blazers blazers red wool winter, monochrome, skinny friendly, rainy weather, dark skin, luxury","statement relaxed polos polos red wool summer, petite friendly, office wear, patterned, neutral skin, cold weather","urban textured shorts shorts chocolate polyester old money, formal, summer, tall friendly, sporty, casual, business casual, cold weather"
"layered heritage utility pants utility pants off-white modal autumn, business casual, casual, stripes, office wear, eco-friendly, medium skin","chic preppy sweatshirts sweatshirts off-white polyester eco-friendly, monochrome, vintage, slim fit, curvy friendly, floral, fair skin","soft statement coats coats mustard jacquard casual, dark skin, vintage, old money, oversized, travel friendly, athleisure, slim fit"
polka dot shorts polyester,"textured structured shorts shorts grey rayon edgy, streetwear, urban, beach wear, fair skin, eco-friendly, summer","oversized structured beach wear beach wear tan silk minimalist, stripes, summer, skinny friendly, cold weather"
striped blazers corduroy,"heritage minimalist blazers blazers orange linen office wear, spring, eco-friendly, y2k, hipster","bold relaxed kimono kimono plaid denim minimalist, festival, layering, edgy, rainy weather, cold weather"
"edgy preppy joggers & pants joggers & pants tie-dye bamboo travel friendly, streetwear, party wear, petite friendly, vintage, floral","bold rustic joggers & pants joggers & pants yellow bamboo old money, spring, luxury, summer, athleisure, medium skin","neutral modern shorts shorts mint wool patterned, eco-friendly, cottagecore, autumn, medium skin, cold weather, dark skin, vintage"
multi-color sweatshirts wool,"oversized relaxed sweatshirts sweatshirts multi-color jacquard streetwear, curvy friendly, fair skin, oversized, medium skin, athleisure, skinny friendly, floral","rustic elegant beach wear beach wear plaid fleece luxury, dark skin, fair skin, casual, travel friendly, business casual"
"casual tailored denim jackets denim jackets red polyester fair skin, summer, eco-friendly, polka dot, stripes, skinny friendly, formal","trendy bright denim jackets denim jackets chocolate linen checked, stripes, slim fit, curvy friendly, travel friendly, medium skin, floral, rainy weather","layered sporty beach wear beach wear sky blue denim urban, polka dot, floral, festival, medium skin, layering, stripes"
multi-color t-shirts fleece,"chic luxury t-shirts t-shirts yellow wool streetwear, sporty, neutral skin, minimalist, travel friendly, hot weather, party wear, monochrome","classic elegant oversize tee oversize tee chocolate jacquard festival, beach wear, medium skin, curvy friendly, layering, streetwear, sporty, petite friendly"
"statement dynamic t-shirts t-shirts nude linen floral, business casual, fair skin, eco-friendly, minimalist, sporty, oversized","dynamic trendy t-shirts t-shirts crimson corduroy oversized, monochrome, fair skin, streetwear, medium skin","casual refined tanks tanks plaid corduroy dark skin, cold weather, summer, old money, edgy, cottagecore, formal, preppy"
"smart retro hoodies & jackets hoodies & jackets grey polyester hipster, summer, tall friendly, edgy, comfy, old money, winter, festival","structured dynamic hoodies & jackets hoodies & jackets peach jacquard summer, polka dot, minimalist, edgy, casual, eco-friendly, patterned","camo functional blazers blazers nude denim neutral skin, minimalist, urban, oversized, cold weather"
"comfy retro joggers & pants joggers & pants camouflage jacquard old money, streetwear, neutral skin, vintage, winter, comfy","sporty lightweight beach wear beach wear camouflage corduroy business casual, curvy friendly, summer, neutral skin, hipster, casual, layering","structured modern sweatshirts sweatshirts mint modal casual, tall friendly, petite friendly, oversized, stripes, skinny friendly"
"textured structured shorts shorts grey rayon edgy, streetwear, urban, beach wear, fair skin, eco-friendly, summer","essential urban shorts shorts navy cotton urban, stripes, petite friendly, edgy, sporty, business casual, polka dot","classic structured hoodies & jackets hoodies & jackets multi-color bamboo vintage, medium skin, monochrome, festival, patterned, stripes, business casual, hipster"
"structured comfy chinos chinos pink velvet dark skin, rainy weather, business casual, medium skin, hipster, edgy","minimalist dynamic cardigans cardigans pink polyester hipster, minimalist, business casual, rainy weather, winter, preppy","bold lightweight tanks tanks peach wool summer, athleisure, medium skin, winter, layering, autumn"
"edgy luxury denim jackets denim jackets sky blue fleece y2k, formal, urban, stripes, layering, minimalist, spring","bold chic oversize tee oversize tee sky blue polyester urban, office wear, checked, comfy, oversized, slim fit, monochrome, dark skin","dynamic functional utility pants utility pants pastel pink velvet hot weather, y2k, oversized, curvy friendly, edgy, formal"
"sporty lightweight kimono kimono mint modal tall friendly, stripes, layering, minimalist, summer","dynamic chic kimono kimono camouflage polyester spring, stripes, comfy, dark skin, hipster","patterned chic oversize tee oversize tee plaid corduroy edgy, hot weather, monochrome, sporty, luxury"
mustard shorts wool,"textured structured shorts shorts grey rayon edgy, streetwear, urban, beach wear, fair skin, eco-friendly, summer","dynamic bold tanks tanks grey fleece hot weather, festival, formal, travel friendly, monochrome, old money"
"edgy edgy shorts shorts coral linen polka dot, layering, winter, vintage, slim fit","smart sporty coats coats coral silk formal, spring, urban, polka dot, sporty, vintage, checked, slim fit","trendy soft chinos chinos nude jacquard luxury, neutral skin, minimalist, athleisure, oversized, petite friendly"
"minimalist refined oversize tee oversize tee tan denim eco-friendly, slim fit, floral, rainy weather, neutral skin, hot weather, dark skin","patterned chic oversize tee oversize tee plaid corduroy edgy, hot weather, monochrome, sporty, luxury","trendy classic cardigans cardigans coral jacquard hipster, medium skin, y2k, casual, sporty, old money, slim fit"
