trend_id,trend_name,trend_category,trend_score,week,year,emerging_designers,trend_tags
1,Pastel,Category Trend,3.762968761464213,1,2024,Designer_4,"Leather, Bold Colors, Cotton"
2,Oversized,Seasonal Trend,4.19045668780402,1,2024,"Designer_38, Designer_18, Designer_27","Minimalist, Velvet, Y2K"
3,Y2K,Category Trend,0.504089449889813,1,2024,Designer_22,"Velvet, Modal, Earth Tones"
4,Monochrome,Fabric Trend,3.4610251091020428,2,2024,"Designer_42, Designer_48, Designer_2","Stripes, Pastel, Bold Colors"
5,Modal,Fabric Trend,0.7883487190685601,2,2024,"Designer_24, Designer_3, Designer_38","Velvet, Bamboo, Y2K"
6,Stripes,Style Trend,2.743518427328243,2,2024,Designer_31,"Bold Colors, Bamboo, Leather"
7,Cotton,Color Trend,1.2824038222430723,2,2024,Designer_6,"Monochrome, Minimalist, Earth Tones"
8,Pastel,Seasonal Trend,2.216640303159319,3,2024,Designer_1,"Velvet, Modal, Pastel"
9,Monochrome,Fabric Trend,1.631904675761202,3,2024,"Designer_11, Designer_29, Designer_34","Oversized, Earth Tones, Leather"
10,Vintage,Seasonal Trend,2.5115250140436527,3,2024,"Designer_31, Designer_27","Leather, Modal, Monochrome"
11,Leather,Style Trend,0.9531931108526608,3,2024,"Designer_5, Designer_26, Designer_4","Earth Tones, Y2K, Minimalist"
12,Monochrome,Style Trend,1.4978519922332423,4,2024,Designer_37,"Earth Tones, Eco-Friendly, Vintage"
13,Y2K,Seasonal Trend,4.670129373385983,4,2024,Designer_11,"Stripes, Vintage, Modal"
14,Bold Colors,Style Trend,1.6761848222751263,4,2024,"Designer_42, Designer_24","Velvet, Leather, Earth Tones"
15,Bold Colors,Category Trend,2.7093827974776348,4,2024,"Designer_35, Designer_31","Bold Colors, Cotton, Eco-Friendly"
16,Stripes,Color Trend,3.7315934516929716,4,2024,"Designer_7, Designer_17","Pastel, Vintage, Monochrome"
17,Minimalist,Seasonal Trend,2.8922230924267964,4,2024,Designer_39,"Pastel, Leather, Stripes"
18,Bamboo,Style Trend,0.5547265430283689,4,2024,Designer_10,"Bamboo, Monochrome, Vintage"
19,Stripes,Style Trend,4.555040352613434,5,2024,"Designer_11, Designer_35","Stripes, Bold Colors, Modal"
20,Bold Colors,Seasonal Trend,0.6554740157676042,5,2024,Designer_11,"Monochrome, Minimalist, Y2K"
21,Minimalist,Seasonal Trend,3.8630435379958863,5,2024,"Designer_6, Designer_5","Y2K, Monochrome, Minimalist"
22,Velvet,Color Trend,2.5151279614084925,6,2024,Designer_49,"Earth Tones, Y2K, Pastel"
23,Modal,Style Trend,4.417771284513962,6,2024,Designer_23,"Y2K, Velvet, Cotton"
24,Modal,Style Trend,1.2812517317331986,6,2024,"Designer_24, Designer_27","Pastel, Modal, Earth Tones"
25,Minimalist,Style Trend,4.836301747374095,6,2024,"Designer_34, Designer_47","Velvet, Earth Tones, Minimalist"
26,Velvet,Style Trend,0.8127901280040971,6,2024,Designer_37,"Bold Colors, Velvet, Vintage"
27,Bold Colors,Seasonal Trend,4.993435264649363,6,2024,Designer_27,"Vintage, Oversized, Modal"
28,Bamboo,Style Trend,3.3511596970012505,6,2024,"Designer_17, Designer_3, Designer_7","Bamboo, Pastel, Oversized"
29,Y2K,Seasonal Trend,3.527876892570767,7,2024,"Designer_1, Designer_34, Designer_23","Monochrome, Y2K, Eco-Friendly"
30,Bold Colors,Category Trend,4.961005854011806,7,2024,Designer_39,"Vintage, Y2K, Monochrome"
31,Y2K,Style Trend,2.830110702696294,7,2024,"Designer_25, Designer_33","Bamboo, Y2K, Earth Tones"
32,Modal,Color Trend,3.626771814945602,7,2024,Designer_41,"Vintage, Leather, Velvet"
33,Stripes,Fabric Trend,1.8652066547004156,7,2024,"Designer_45, Designer_26, Designer_19","Eco-Friendly, Oversized, Bamboo"
34,Pastel,Fabric Trend,2.7220625492047925,7,2024,"Designer_49, Designer_5","Earth Tones, Eco-Friendly, Cotton"
35,Velvet,Color Trend,2.4455956566518413,7,2024,Designer_11,"Leather, Bamboo, Monochrome"
36,Earth Tones,Color Trend,2.1916233308004847,8,2024,"Designer_39, Designer_18","Bold Colors, Monochrome, Y2K"
37,Vintage,Seasonal Trend,3.538703578398624,8,2024,"Designer_17, Designer_16, Designer_17","Bold Colors, Monochrome, Eco-Friendly"
38,Vintage,Category Trend,4.37284382955078,8,2024,"Designer_46, Designer_14, Designer_24","Stripes, Modal, Earth Tones"
39,Earth Tones,Style Trend,4.7657043772548375,8,2024,Designer_30,"Stripes, Velvet, Monochrome"
40,Velvet,Color Trend,0.6803419857927226,9,2024,"Designer_14, Designer_37","Oversized, Vintage, Pastel"
41,Monochrome,Color Trend,4.561612227123548,9,2024,Designer_33,"Eco-Friendly, Pastel, Cotton"
42,Eco-Friendly,Seasonal Trend,1.925884736837455,9,2024,"Designer_3, Designer_20","Earth Tones, Minimalist, Bamboo"
43,Oversized,Color Trend,4.842453398784078,10,2024,Designer_48,"Minimalist, Bamboo, Earth Tones"
44,Monochrome,Color Trend,1.1227758604018838,10,2024,Designer_4,"Minimalist, Vintage, Eco-Friendly"
45,Earth Tones,Seasonal Trend,3.21483194905271,10,2024,"Designer_25, Designer_42, Designer_42","Leather, Velvet, Cotton"
46,Cotton,Category Trend,4.826095013196176,10,2024,"Designer_30, Designer_18","Minimalist, Pastel, Velvet"
47,Bamboo,Category Trend,1.395377233587484,10,2024,Designer_37,"Velvet, Monochrome, Earth Tones"
48,Velvet,Fabric Trend,1.232045558928522,11,2024,"Designer_11, Designer_8, Designer_13","Velvet, Y2K, Minimalist"
