"product_id","shop_id","name","category","color","fabric","size_range","price_LKR","style_tags","product_url","created_ts","popularity_score","stock_count","created_timestamp"
"1","1","Classic Crew Tee 0001","t-shirts","black","cotton","XS-S","2200","casual, everyday, monochrome","https://stylesensesl.demo/product/1","12:00:00","2.5","12","2025-01-01 12:00:00"
"2","2","Relaxed Cotton Tee 0002","t-shirts","white","linen","S-M","2928","everyday, relaxed, minimal","https://stylesensesl.demo/product/2","15:00:00","4.2","31","2025-01-01 15:00:00"
"3","3","Urban Essential Tee 0003","t-shirts","red","cotton","M","3656","relaxed, summer, smart","https://stylesensesl.demo/product/3","18:00:00","3.4","50","2025-01-01 18:00:00"
"4","4","Minimal Everyday Tee 0004","t-shirts","light blue","linen","M-L","4384","summer, casual, weekend","https://stylesensesl.demo/product/4","21:00:00","2.6","69","2025-01-01 21:00:00"
"5","7","Classic Crew Tee 0005","t-shirts","green","cotton","L","2408","casual, everyday, urban","https://stylesensesl.demo/product/5","00:00:00","4.3","88","2025-01-02 00:00:00"
"6","8","Relaxed Cotton Tee 0006","t-shirts","brown","linen","L-XL","3136","everyday, relaxed, classic","https://stylesensesl.demo/product/6","03:00:00","3.5","107","2025-01-02 03:00:00"
"7","9","Urban Essential Tee 0007","t-shirts","black","cotton","XL","3864","relaxed, summer, monochrome","https://stylesensesl.demo/product/7","06:00:00","2.7","126","2025-01-02 06:00:00"
"8","10","Minimal Everyday Tee 0008","t-shirts","white","linen","XL-XXL","4592","summer, casual, minimal","https://stylesensesl.demo/product/8","09:00:00","4.4","145","2025-01-02 09:00:00"
"9","11","Classic Crew Tee 0009","t-shirts","red","cotton","XS-S","2616","casual, everyday, smart","https://stylesensesl.demo/product/9","12:00:00","3.6","164","2025-01-02 12:00:00"
"10","12","Relaxed Cotton Tee 0010","t-shirts","light blue","linen","S-M","3344","everyday, relaxed, weekend","https://stylesensesl.demo/product/10","15:00:00","2.8","183","2025-01-02 15:00:00"
"11","13","Urban Essential Tee 0011","t-shirts","green","cotton","M","4072","relaxed, summer, urban","https://stylesensesl.demo/product/11","18:00:00","4.5","202","2025-01-02 18:00:00"
"12","14","Minimal Everyday Tee 0012","t-shirts","brown","linen","M-L","4800","summer, casual, classic","https://stylesensesl.demo/product/12","21:00:00","3.7","221","2025-01-02 21:00:00"
"13","15","Classic Crew Tee 0013","t-shirts","black","cotton","L","2824","casual, everyday, monochrome","https://stylesensesl.demo/product/13","00:00:00","2.9","240","2025-01-03 00:00:00"
"14","16","Relaxed Cotton Tee 0014","t-shirts","white","linen","L-XL","3552","everyday, relaxed, minimal","https://stylesensesl.demo/product/14","03:00:00","4.6","259","2025-01-03 03:00:00"
"15","17","Urban Essential Tee 0015","t-shirts","red","cotton","XL","4280","relaxed, summer, smart","https://stylesensesl.demo/product/15","06:00:00","3.8","278","2025-01-03 06:00:00"
"16","18","Minimal Everyday Tee 0016","t-shirts","light blue","linen","XL-XXL","2304","summer, casual, weekend","https://stylesensesl.demo/product/16","09:00:00","3","297","2025-01-03 09:00:00"
"17","19","Classic Crew Tee 0017","t-shirts","green","cotton","XS-S","3032","casual, everyday, urban","https://stylesensesl.demo/product/17","12:00:00","4.7","316","2025-01-03 12:00:00"
"18","20","Relaxed Cotton Tee 0018","t-shirts","brown","linen","S-M","3760","everyday, relaxed, classic","https://stylesensesl.demo/product/18","15:00:00","3.9","335","2025-01-03 15:00:00"
"19","21","Urban Essential Tee 0019","t-shirts","black","cotton","M","4488","relaxed, summer, monochrome","https://stylesensesl.demo/product/19","18:00:00","3.1","354","2025-01-03 18:00:00"
"20","22","Minimal Everyday Tee 0020","t-shirts","white","linen","M-L","2512","summer, casual, minimal","https://stylesensesl.demo/product/20","21:00:00","4.8","373","2025-01-03 21:00:00"
"21","23","Classic Crew Tee 0021","t-shirts","red","cotton","L","3240","casual, everyday, smart","https://stylesensesl.demo/product/21","00:00:00","4","392","2025-01-04 00:00:00"
"22","24","Relaxed Cotton Tee 0022","t-shirts","light blue","linen","L-XL","3968","everyday, relaxed, weekend","https://stylesensesl.demo/product/22","03:00:00","3.2","411","2025-01-04 03:00:00"
"23","1","Urban Essential Tee 0023","t-shirts","green","cotton","XL","4696","relaxed, summer, urban","https://stylesensesl.demo/product/23","06:00:00","4.9","430","2025-01-04 06:00:00"
