anchor,positive,negative
"functional edgy joggers & pants joggers & pants off-white silk winter, checked, festival, dark skin, fair skin, oversized, preppy","rustic tailored polos polos off-white silk oversized, cottagecore, spring, preppy, summer","neutral modern shorts shorts mint wool patterned, eco-friendly, cottagecore, autumn, medium skin, cold weather, dark skin, vintage"
"dynamic chic kimono kimono camouflage polyester spring, stripes, comfy, dark skin, hipster","wide leg rustic kimono kimono pastel green velvet minimalist, vintage, fair skin, summer, spring, sporty","casual smart utility pants utility pants pastel pink polyester edgy, patterned, old money, tall friendly, minimalist"
"bold statement coats coats charcoal jacquard business casual, monochrome, skinny friendly, cold weather, formal","soft modern utility pants utility pants charcoal corduroy curvy friendly, hipster, formal, y2k, festival, tall friendly, cold weather","textured modern shorts shorts pink tencel slim fit, athleisure, beach wear, office wear, comfy"
"chic textured t-shirts t-shirts multi-color corduroy athleisure, slim fit, cold weather, spring, comfy, tall friendly","essential casual hoodies & jackets hoodies & jackets multi-color silk hipster, patterned, festival, dark skin, stripes, summer, cottagecore","structured retro denim jackets denim jackets pink modal hipster, festival, eco-friendly, neutral skin, streetwear, skinny friendly, minimalist, petite friendly"
"smart chic hoodies & jackets hoodies & jackets plaid linen comfy, winter, sporty, curvy friendly, minimalist, dark skin, skinny friendly, tall friendly","edgy functional hoodies & jackets hoodies & jackets multi-color corduroy polka dot, floral, sporty, layering, office wear, autumn, urban, summer","dynamic rustic chinos chinos brown linen comfy, neutral skin, hipster, cold weather, skinny friendly, rainy weather, vintage"
"trendy patterned chinos chinos pastel green velvet oversized, hot weather, festival, cottagecore, neutral skin","luxury layered chinos chinos olive tencel travel friendly, rainy weather, neutral skin, athleisure, y2k","functional patterned track pants track pants yellow linen streetwear, vintage, luxury, business casual, medium skin, hot weather, dark skin, neutral skin"
"functional comfy coats coats pastel pink polyester sporty, y2k, dark skin, curvy friendly, autumn","tailored bold coats coats pink silk neutral skin, cottagecore, autumn, party wear, medium skin, edgy","retro layered oversize tee oversize tee teal rayon minimalist, hipster, oversized, checked, medium skin, curvy friendly"
"preppy retro chinos chinos tie-dye modal patterned, tall friendly, casual, petite friendly, slim fit, curvy friendly, office wear, winter","rustic soft chinos chinos off-white denim beach wear, minimalist, spring, eco-friendly, travel friendly, cold weather, polka dot, slim fit","bright wide leg joggers & pants joggers & pants yellow wool checked, rainy weather, cottagecore, monochrome, hot weather, oversized, fair skin, skinny friendly"
pastel green polos leather,"casual structured polos polos green denim neutral skin, oversized, curvy friendly, monochrome, old money, urban, preppy","functional relaxed kimono kimono black corduroy floral, spring, checked, urban, monochrome, curvy friendly"
"structured functional beach wear beach wear olive fleece luxury, winter, rainy weather, eco-friendly, casual","urban functional beach wear beach wear teal denim preppy, urban, polka dot, cottagecore, curvy friendly, neutral skin, business casual","neutral chic track pants track pants polka dot corduroy old money, y2k, vintage, minimalist, sporty"
checked joggers & pants corduroy,"lightweight heritage joggers & pants joggers & pants orange fleece office wear, petite friendly, hot weather, minimalist, party wear, polka dot, summer","chic urban polos polos chocolate silk minimalist, festival, vintage, formal, cold weather, business casual, comfy"
"edgy edgy shorts shorts coral linen polka dot, layering, winter, vintage, slim fit","smart sporty coats coats coral silk formal, spring, urban, polka dot, sporty, vintage, checked, slim fit","trendy soft chinos chinos nude jacquard luxury, neutral skin, minimalist, athleisure, oversized, petite friendly"
"casual bold coats coats maroon wool comfy, hot weather, casual, petite friendly, vintage, hipster, skinny friendly, tall friendly","structured neutral coats coats grey wool athleisure, beach wear, festival, minimalist, formal, neutral skin, urban","urban structured kimono kimono brown fleece beach wear, eco-friendly, sporty, old money, patterned, monochrome, tall friendly"
tie-dye polos silk,"casual structured polos polos green denim neutral skin, oversized, curvy friendly, monochrome, old money, urban, preppy","casual preppy hoodies & jackets hoodies & jackets tie-dye bamboo slim fit, dark skin, business casual, skinny friendly, festival"
