product_id,shop_id,name,category,color,fabric,size_range,price_LKR,style_tags,product_url,created_ts,popularity_score,stock_count,_ingestion_ts,_source_file,_ingestion_date,_cleaned_at,_dq_score
1.0,8.0,,beach wear,navy,wool,l,3000.0,"tall friendly, checked, monochrome, sporty, dark skin, athleisure, curvy friendly, patterned",https://casualcorner.com/product/1,19:51.6,3.4,28.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
2.0,15.0,luxury rustic coats,coats,checked,polyester,xl-xxl,14000.0,"floral, formal, comfy, checked, petite friendly, dark skin, cold weather, medium skin",https://arena.com/product/2,46:58.1,4.6,15.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
3.0,3.0,vintage oversized beach wear,beach wear,mustard,velvet,xs-s,5000.0,"dark skin, eco-friendly, edgy, hipster, business casual, y2k, travel friendly",https://hameedia.com/product/3,,2.7,39.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
4.0,12.0,sporty textured t-shirts,t-shirts,brown,silk,l,2500.0,"rainy weather, festival, fair skin, winter, comfy, slim fit",,32:39.4,4.9,5.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
5.0,21.0,casual classic cardigans,cardigans,multi-color,tencel,m,9000.0,"neutral skin, business casual, formal, winter, polka dot, floral",https://elements.com/product/5,31:05.6,2.9,18.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
6.0,1.0,urban urban blazers,blazers,grey,denim,xl-xxl,12500.0,"skinny friendly, streetwear, polka dot, checked, tall friendly, monochrome",https://foa.com/product/6,02:05.9,2.7,13.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
7.0,9.0,statement wide leg sweatshirts,sweatshirts,peach,corduroy,l,,"cold weather, fair skin, streetwear, business casual, hot weather, formal, skinny friendly",https://houseoffashion.com/product/7,54:58.2,4.5,29.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
8.0,2.0,chic luxury t-shirts,t-shirts,yellow,wool,xl-xxl,2500.0,"streetwear, sporty, neutral skin, minimalist, travel friendly, hot weather, party wear, monochrome",https://incarnage.com/product/8,29:27.0,3.7,50.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
9.0,7.0,elegant essential joggers & pants,joggers & pants,blue,modal,l,3000.0,"preppy, minimalist, streetwear, urban, oversized, hipster",https://dresssmart.com/product/9,16:24.1,2.9,36.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
10.0,19.0,sporty chic chinos,chinos,beige,leather,m,5500.0,"cottagecore, business casual, eco-friendly, tall friendly, vintage",https://skylineclothing.com/product/10,28:44.0,3.5,41.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
11.0,,lightweight heritage joggers & pants,joggers & pants,orange,fleece,xs-s,2500.0,"office wear, petite friendly, hot weather, minimalist, party wear, polka dot, summer",https://fashionbug.com/product/11,05:03.6,4.1,18.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
12.0,20.0,tailored soft coats,coats,chocolate,leather,xs-s,14500.0,"party wear, checked, dark skin, fair skin, monochrome",https://trendz.com/product/12,43:48.3,4.7,2.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
13.0,4.0,layered textured denim jackets,denim jackets,blue,leather,xs-s,11000.0,"monochrome, polka dot, tall friendly, business casual, luxury, vintage",https://signature.com/product/13,19:36.4,2.4,11.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
14.0,12.0,smart oversized joggers & pants,joggers & pants,white,wool,m,4500.0,"office wear, hipster, edgy, dark skin, comfy, beach wear, sporty, minimalist",https://urbancloset.com/product/14,03:42.6,1.7,36.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
15.0,19.0,statement edgy utility pants,utility pants,striped,modal,xl-xxl,12000.0,"eco-friendly, floral, polka dot, patterned, layering, oversized, cold weather",https://skylineclothing.com/product/15,45:57.9,1.3,6.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
16.0,1.0,layered casual track pants,track pants,chocolate,cotton,l,3000.0,"petite friendly, cottagecore, festival, skinny friendly, floral, comfy, formal",https://foa.com/product/16,46:39.7,1.4,9.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
17.0,20.0,chic comfy joggers & pants,joggers & pants,chocolate,wool,xs-s,4000.0,"urban, formal, winter, rainy weather, neutral skin, office wear, patterned",https://trendz.com/product/17,33:53.2,,24.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
18.0,14.0,soft edgy beach wear,beach wear,mint,linen,l,,"petite friendly, patterned, hipster, business casual, cold weather, monochrome",https://metrowear.com/product/18,09:12.2,2.7,45.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
19.0,3.0,patterned chic cardigans,cardigans,black,bamboo,xl-xxl,10000.0,"autumn, patterned, checked, dark skin, skinny friendly, cottagecore, minimalist",https://hameedia.com/product/19,14:42.7,4.2,33.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
20.0,9.0,heritage minimalist blazers,blazers,orange,,m,9500.0,,https://houseoffashion.com/product/20,,3.2,13.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
21.0,19.0,luxury textured track pants,track pants,blush,modal,xl-xxl,2500.0,"rainy weather, edgy, tall friendly, floral, vintage",https://skylineclothing.com/product/21,12:40.6,2.6,50.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
22.0,16.0,camo relaxed shorts,shorts,peach,silk,l,3000.0,"edgy, autumn, patterned, athleisure, streetwear, festival, spring, tall friendly",https://planetsports.com/product/22,00:46.0,1.6,24.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
23.0,18.0,elegant wide leg coats,coats,mint,polyester,xl-xxl,9000.0,"neutral skin, fair skin, petite friendly, layering, hipster",https://breeze.com/product/23,52:07.6,3.4,21.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
24.0,4.0,bright bold blazers,blazers,red,wool,xl-xxl,14000.0,"winter, monochrome, skinny friendly, rainy weather, dark skin, luxury",https://signature.com/product/24,33:35.4,3.1,23.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
25.0,2.0,bright oversized chinos,chinos,maroon,denim,l,5500.0,"office wear, vintage, skinny friendly, slim fit, layering, formal",https://incarnage.com/product/25,49:33.1,3.7,43.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
26.0,14.0,,utility pants,grey,silk,xl-xxl,10000.0,"formal, layering, cottagecore, preppy, fair skin, summer, party wear",https://metrowear.com/product/26,31:12.1,2.1,40.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
27.0,10.0,functional functional oversize tee,oversize tee,chocolate,polyester,m,4000.0,"monochrome, petite friendly, cottagecore, comfy, floral, tall friendly",https://fashionbug.com/product/27,00:24.2,1.2,21.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
28.0,2.0,wide leg comfy oversize tee,oversize tee,olive,tencel,l,4000.0,"neutral skin, curvy friendly, formal, autumn, office wear",https://incarnage.com/product/28,43:03.1,1.3,18.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
29.0,4.0,layered casual track pants,track pants,pastel blue,jacquard,xl-xxl,5000.0,"stripes, y2k, medium skin, edgy, winter",https://signature.com/product/29,32:39.6,1.6,28.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
30.0,11.0,functional minimalist chinos,chinos,pastel blue,polyester,m,4500.0,"neutral skin, tall friendly, polka dot, y2k, rainy weather, hipster, dark skin, luxury",https://coolguy.com/product/30,47:34.0,4.7,0.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
31.0,2.0,luxury heritage t-shirts,t-shirts,polka dot,wool,xl-xxl,5000.0,"petite friendly, preppy, comfy, athleisure, winter, y2k",https://incarnage.com/product/31,18:39.6,1.9,41.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
32.0,10.0,structured comfy chinos,chinos,pink,velvet,l,4000.0,"dark skin, rainy weather, business casual, medium skin, hipster, edgy",https://fashionbug.com/product/32,28:33.8,2.9,33.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
33.0,22.0,vintage vintage denim jackets,denim jackets,pastel blue,fleece,m,9000.0,"comfy, patterned, stripes, rainy weather, medium skin, summer",https://crossover.com/product/33,28:58.6,1.9,10.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
34.0,18.0,textured structured shorts,shorts,grey,rayon,xs-s,4000.0,"edgy, streetwear, urban, beach wear, fair skin, eco-friendly, summer",https://breeze.com/product/34,14:24.8,2.7,39.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
35.0,17.0,chic camo t-shirts,t-shirts,sky blue,jacquard,m,3000.0,"slim fit, cottagecore, beach wear, fair skin, formal, streetwear, summer, skinny friendly",https://lifestyle.com/product/35,12:39.6,1.2,2.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
36.0,4.0,essential urban shorts,shorts,navy,cotton,m,3000.0,"urban, stripes, petite friendly, edgy, sporty, business casual, polka dot",https://signature.com/product/36,47:18.5,2.4,22.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
37.0,18.0,neutral relaxed joggers & pants,joggers & pants,navy,cotton,l,5000.0,"office wear, checked, eco-friendly, sporty, party wear, medium skin, business casual",https://breeze.com/product/37,49:55.1,4.5,22.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
38.0,4.0,statement smart beach wear,beach wear,maroon,bamboo,xl-xxl,5500.0,"slim fit, rainy weather, stripes, monochrome, formal, summer, oversized, skinny friendly",https://signature.com/product/38,44:02.8,4.0,43.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
39.0,12.0,wide leg minimalist cardigans,cardigans,tan,,xs-s,10500.0,"cottagecore, stripes, streetwear, medium skin, luxury, hipster",https://urbancloset.com/product/39,34:29.0,2.6,16.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
40.0,16.0,edgy retro oversize tee,oversize tee,grey,,xs-s,4000.0,"hipster, winter, checked, spring, luxury, polka dot, layering, y2k",https://planetsports.com/product/40,39:55.2,4.4,5.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
41.0,4.0,classic tailored t-shirts,t-shirts,plaid,tencel,,4500.0,"old money, curvy friendly, formal, travel friendly, fair skin, casual",https://signature.com/product/41,03:34.5,4.0,13.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
42.0,14.0,luxury classic cardigans,cardigans,black,corduroy,l,,"fair skin, beach wear, office wear, preppy, spring, festival",https://metrowear.com/product/42,04:17.8,1.1,22.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
43.0,,vintage vintage beach wear,beach wear,camouflage,rayon,m,3000.0,"party wear, skinny friendly, cold weather, hot weather, sporty",https://arena.com/product/43,46:25.8,2.1,25.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
44.0,10.0,statement relaxed polos,polos,red,wool,xl-xxl,4500.0,"summer, petite friendly, office wear, patterned, neutral skin, cold weather",https://fashionbug.com/product/44,17:36.4,2.8,7.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
45.0,17.0,relaxed bold chinos,chinos,multi-color,corduroy,m,4000.0,"urban, y2k, travel friendly, hipster, preppy, dark skin, cold weather, business casual",https://lifestyle.com/product/45,43:16.0,2.0,44.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
46.0,2.0,,blazers,brown,tencel,xs-s,12000.0,"cottagecore, edgy, polka dot, travel friendly, beach wear",,45:04.3,2.3,31.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
47.0,18.0,urban luxury kimono,kimono,navy,fleece,xl-xxl,12500.0,"athleisure, autumn, beach wear, eco-friendly, streetwear",https://breeze.com/product/47,47:54.1,4.5,,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
48.0,7.0,camo sporty hoodies & jackets,hoodies & jackets,maroon,jacquard,,13000.0,"layering, cottagecore, stripes, floral, winter, festival",https://dresssmart.com/product/48,41:46.8,1.3,5.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
49.0,14.0,structured oversized hoodies & jackets,hoodies & jackets,red,denim,m,10500.0,"floral, comfy, tall friendly, luxury, casual, oversized",https://metrowear.com/product/49,31:52.5,1.6,13.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
50.0,14.0,relaxed bold beach wear,beach wear,navy,fleece,xs-s,5000.0,"streetwear, festival, rainy weather, autumn, tall friendly",,15:29.6,2.2,12.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
51.0,11.0,oversized relaxed sweatshirts,sweatshirts,multi-color,jacquard,xs-s,4000.0,"streetwear, curvy friendly, fair skin, oversized, medium skin, athleisure, skinny friendly, floral",https://coolguy.com/product/51,,4.1,4.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
52.0,18.0,vintage preppy utility pants,,olive,cotton,l,11500.0,"hipster, floral, urban, eco-friendly, hot weather, beach wear, rainy weather",,36:33.1,2.3,6.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
53.0,14.0,urban bright kimono,kimono,red,tencel,l,9000.0,"office wear, hot weather, slim fit, medium skin, monochrome",https://metrowear.com/product/53,00:05.6,3.1,22.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
54.0,14.0,lightweight sporty t-shirts,t-shirts,red,bamboo,m,5000.0,"spring, rainy weather, patterned, travel friendly, medium skin",https://metrowear.com/product/54,12:36.7,2.0,44.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
55.0,20.0,casual layered coats,coats,mint,rayon,l,13500.0,"petite friendly, athleisure, eco-friendly, curvy friendly, y2k",https://trendz.com/product/55,19:17.0,4.4,29.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
56.0,16.0,edgy preppy blazers,blazers,camouflage,leather,l,9500.0,"curvy friendly, beach wear, monochrome, polka dot, skinny friendly, autumn, party wear",https://planetsports.com/product/56,34:41.6,4.5,35.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
57.0,15.0,neutral casual cardigans,cardigans,charcoal,silk,xl-xxl,12000.0,"festival, layering, hipster, sporty, cottagecore, medium skin, summer, oversized",https://arena.com/product/57,59:07.5,3.8,16.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
58.0,24.0,smart bright blazers,blazers,nude,velvet,l,9500.0,,https://elitewear.com/product/58,54:29.2,1.9,3.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
59.0,24.0,,oversize tee,multi-color,wool,m,3500.0,"medium skin, minimalist, neutral skin, slim fit, y2k, patterned, oversized, eco-friendly",https://elitewear.com/product/59,49:08.9,2.4,45.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
60.0,15.0,smart retro hoodies & jackets,hoodies & jackets,teal,modal,xl-xxl,10500.0,"stripes, luxury, formal, cold weather, monochrome",https://arena.com/product/60,21:38.1,1.8,29.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
61.0,7.0,luxury heritage chinos,chinos,peach,velvet,xl-xxl,5500.0,"medium skin, athleisure, office wear, luxury, hipster, oversized, formal, business casual",https://dresssmart.com/product/61,11:13.1,4.1,19.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
62.0,21.0,urban comfy chinos,chinos,nude,cotton,l,7000.0,"rainy weather, summer, stripes, tall friendly, dark skin",https://elements.com/product/62,37:24.6,3.5,36.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
63.0,11.0,preppy casual coats,coats,chocolate,corduroy,l,12000.0,"preppy, summer, rainy weather, slim fit, polka dot, layering, monochrome",https://coolguy.com/product/63,08:33.4,3.6,19.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
64.0,24.0,,chinos,nude,polyester,xs-s,6500.0,"curvy friendly, patterned, tall friendly, polka dot, spring, streetwear",https://elitewear.com/product/64,33:00.9,2.4,14.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
65.0,2.0,soft vintage joggers & pants,joggers & pants,white,rayon,xl-xxl,4500.0,"sporty, autumn, layering, patterned, rainy weather",https://incarnage.com/product/65,18:30.3,2.1,24.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
66.0,19.0,layered preppy shorts,shorts,tie-dye,corduroy,m,2500.0,"y2k, hot weather, vintage, party wear, cold weather, oversized, sporty",https://skylineclothing.com/product/66,14:12.5,4.3,12.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
67.0,13.0,bold vintage track pants,track pants,tan,cotton,xs-s,3000.0,"luxury, medium skin, patterned, summer, neutral skin, hot weather, slim fit, hipster",https://reddot.com/product/67,31:47.6,3.5,0.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
68.0,3.0,patterned functional kimono,kimono,camouflage,jacquard,xs-s,14000.0,"formal, preppy, curvy friendly, festival, old money",https://hameedia.com/product/68,34:54.6,4.1,8.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
69.0,12.0,minimalist soft joggers & pants,,chocolate,rayon,m,2500.0,"spring, old money, checked, floral, hot weather, cottagecore",https://urbancloset.com/product/69,15:07.5,3.7,49.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
70.0,9.0,heritage functional blazers,blazers,coral,wool,xl-xxl,11000.0,"eco-friendly, urban, edgy, dark skin, luxury, athleisure, stripes",https://houseoffashion.com/product/70,52:02.0,3.3,19.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
71.0,16.0,rustic structured cardigans,cardigans,red,jacquard,m,14500.0,"petite friendly, polka dot, hot weather, skinny friendly, travel friendly, dark skin, athleisure",https://planetsports.com/product/71,,4.4,40.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
,21.0,slim fit bright coats,coats,pastel blue,wool,l,10000.0,"sporty, beach wear, hot weather, urban, dark skin, tall friendly",https://elements.com/product/72,20:47.2,4.9,4.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
73.0,10.0,functional urban cardigans,cardigans,grey,linen,,8000.0,"vintage, sporty, layering, comfy, skinny friendly, summer, eco-friendly",https://fashionbug.com/product/73,37:16.9,2.1,35.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
74.0,11.0,edgy structured beach wear,beach wear,sky blue,denim,l,5500.0,"petite friendly, formal, old money, spring, patterned, edgy, layering, autumn",https://coolguy.com/product/74,27:24.6,2.4,30.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
75.0,23.0,vintage neutral kimono,,brown,jacquard,m,,"hipster, spring, skinny friendly, beach wear, hot weather, tall friendly, business casual",https://voguestreet.com/product/75,33:11.3,3.6,46.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
76.0,15.0,retro classic coats,coats,,fleece,xs-s,12500.0,"festival, business casual, party wear, office wear, winter, rainy weather",https://arena.com/product/76,20:41.3,3.6,40.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
77.0,17.0,casual structured polos,polos,green,denim,l,2500.0,"neutral skin, oversized, curvy friendly, monochrome, old money, urban, preppy",https://lifestyle.com/product/77,24:38.4,2.3,34.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
78.0,23.0,rustic elegant beach wear,beach wear,,fleece,l,4000.0,"luxury, dark skin, fair skin, casual, travel friendly, business casual",https://voguestreet.com/product/78,03:26.0,4.9,49.0,2026-02-28 19:12:01.081333,synthetic_outerwear_sri_lanka_with_shop_ids.csv,2026-02-28,2026-03-09T22:55:39.588835,97
