trend_id,trend_name,trend_category,trend_score,week,year,emerging_designers,trend_tags
1,Pastel,Category Trend,3.762968761,1.0,2024.0,Designer_4,"Leather, Bold Colors, Cotton"
2,Oversized,Seasonal Trend,4.190456688,1.0,2024.0,"Designer_38, Designer_18, Designer_27","Minimalist, Velvet, Y2K"
3,Y2K,Category Trend,0.50408945,1.0,2024.0,Designer_22,"Velvet, Modal, Earth Tones"
4,Monochrome,Fabric Trend,3.461025109,2.0,2024.0,"Designer_42, Designer_48, Designer_2","Stripes, Pastel, Bold Colors"
5,Modal,Fabric Trend,0.788348719,2.0,2024.0,"Designer_24, Designer_3, Designer_38","Velvet, Bamboo, Y2K"
6,Stripes,Style Trend,2.743518427,2.0,2024.0,Designer_31,"Bold Colors, Bamboo, Leather"
7,Cotton,Color Trend,1.282403822,2.0,2024.0,Designer_6,"Monochrome, Minimalist, Earth Tones"
8,Pastel,Seasonal Trend,2.216640303,3.0,2024.0,Designer_1,"Velvet, Modal, Pastel"
9,Monochrome,Fabric Trend,1.631904676,3.0,2024.0,"Designer_11, Designer_29, Designer_34","Oversized, Earth Tones, Leather"
10,Vintage,Seasonal Trend,2.511525014,3.0,2024.0,"Designer_31, Designer_27","Leather, Modal, Monochrome"
11,Leather,Style Trend,0.953193111,3.0,2024.0,"Designer_5, Designer_26, Designer_4","Earth Tones, Y2K, Minimalist"
12,Monochrome,Style Trend,1.497851992,4.0,2024.0,Designer_37,"Earth Tones, Eco-Friendly, Vintage"
13,Y2K,Seasonal Trend,4.670129373,4.0,2024.0,Designer_11,"Stripes, Vintage, Modal"
14,Bold Colors,Style Trend,1.676184822,4.0,2024.0,"Designer_42, Designer_24","Velvet, Leather, Earth Tones"
15,Bold Colors,Category Trend,2.830110703,4.0,2024.0,"Designer_35, Designer_31","Bold Colors, Cotton, Eco-Friendly"
16,Stripes,Color Trend,3.731593452,4.0,2024.0,"Designer_7, Designer_17","Pastel, Vintage, Monochrome"
17,Minimalist,Seasonal Trend,2.892223092,4.0,2024.0,Designer_39,"Pastel, Leather, Stripes"
18,Bamboo,Style Trend,0.554726543,4.0,2024.0,Designer_10,"Bamboo, Monochrome, Vintage"
19,Stripes,Style Trend,4.555040353,5.0,2024.0,Unknown,"Stripes, Bold Colors, Modal"
20,Bold Colors,Seasonal Trend,0.655474016,5.0,2024.0,Designer_11,"Monochrome, Minimalist, Y2K"
21,Minimalist,Seasonal Trend,3.863043538,5.0,2024.0,"Designer_6, Designer_5","Y2K, Monochrome, Minimalist"
22,Velvet,Color Trend,2.515127961,6.0,2024.0,Designer_49,"Earth Tones, Y2K, Pastel"
23,Modal,Style Trend,4.417771285,6.0,2024.0,Designer_23,"Y2K, Velvet, Cotton"
24,Modal,Style Trend,1.281251732,6.0,2024.0,"Designer_24, Designer_27","Pastel, Modal, Earth Tones"
25,Minimalist,Style Trend,4.836301747,6.0,2024.0,"Designer_34, Designer_47","Velvet, Earth Tones, Minimalist"
27,Bold Colors,Seasonal Trend,4.993435265,6.0,2024.0,Designer_27,"Vintage, Oversized, Modal"
28,Bamboo,Style Trend,3.351159697,6.0,2024.0,"Designer_17, Designer_3, Designer_7","Bamboo, Pastel, Oversized"
29,Y2K,Seasonal Trend,3.527876893,7.0,2024.0,"Designer_1, Designer_34, Designer_23","Monochrome, Y2K, Eco-Friendly"
30,Bold Colors,Category Trend,4.961005854,7.0,2024.0,Designer_39,"Vintage, Y2K, Monochrome"
31,Y2K,Style Trend,2.830110703,7.0,2024.0,"Designer_25, Designer_33","Bamboo, Y2K, Earth Tones"
32,Modal,Color Trend,3.626771815,7.0,2024.0,Designer_41,"Vintage, Leather, Velvet"
33,Stripes,Fabric Trend,1.865206655,7.0,2024.0,"Designer_45, Designer_26, Designer_19","Eco-Friendly, Oversized, Bamboo"
34,Pastel,Fabric Trend,2.722062549,7.0,2024.0,"Designer_49, Designer_5","Earth Tones, Eco-Friendly, Cotton"
35,Velvet,Color Trend,2.445595657,7.0,2024.0,Designer_11,"Leather, Bamboo, Monochrome"
36,Earth Tones,Color Trend,2.191623331,8.0,2024.0,"Designer_39, Designer_18","Bold Colors, Monochrome, Y2K"
37,Vintage,Seasonal Trend,3.538703578,8.0,2024.0,"Designer_17, Designer_16, Designer_17","Bold Colors, Monochrome, Eco-Friendly"
38,Vintage,Category Trend,4.37284383,8.0,2024.0,"Designer_46, Designer_14, Designer_24","Stripes, Modal, Earth Tones"
39,Earth Tones,Style Trend,4.765704377,8.0,2024.0,Designer_30,"Stripes, Velvet, Monochrome"
41,Monochrome,Color Trend,4.561612227,9.0,2024.0,Designer_33,Unknown
42,Eco-Friendly,Seasonal Trend,1.925884737,9.0,2024.0,"Designer_3, Designer_20","Earth Tones, Minimalist, Bamboo"
43,Oversized,Color Trend,4.842453399,10.0,2024.0,Designer_48,"Minimalist, Bamboo, Earth Tones"
44,Monochrome,Color Trend,1.12277586,10.0,2024.0,Designer_4,"Minimalist, Vintage, Eco-Friendly"
45,Earth Tones,Seasonal Trend,3.214831949,10.0,2024.0,"Designer_25, Designer_42, Designer_42","Leather, Velvet, Cotton"
46,Cotton,Category Trend,4.826095013,10.0,2024.0,Unknown,"Minimalist, Pastel, Velvet"
47,Bamboo,Category Trend,1.395377234,10.0,2024.0,Designer_37,"Velvet, Monochrome, Earth Tones"
48,Velvet,Fabric Trend,1.232045559,11.0,2024.0,"Designer_11, Designer_8, Designer_13","Velvet, Y2K, Minimalist"
49,Oversized,Color Trend,1.8576169,11.0,2024.0,"Designer_22, Designer_20","Bold Colors, Pastel, Modal"
50,Bamboo,Style Trend,1.266971073,11.0,2024.0,"Designer_6, Designer_11","Stripes, Bold Colors, Earth Tones"
51,Modal,Fabric Trend,1.160506945,11.0,2024.0,"Designer_13, Designer_19, Designer_29","Bold Colors, Stripes, Eco-Friendly"
52,Monochrome,Category Trend,0.692994592,12.0,2024.0,Designer_26,"Leather, Bamboo, Cotton"
53,Oversized,Style Trend,2.499480276,12.0,2024.0,"Designer_18, Designer_38","Bamboo, Modal, Eco-Friendly"
54,Leather,Seasonal Trend,4.946862018,12.0,2024.0,Designer_26,"Velvet, Bold Colors, Eco-Friendly"
55,Oversized,Style Trend,1.991118433,12.0,2024.0,Designer_6,"Oversized, Minimalist, Stripes"
56,Pastel,Style Trend,4.795178669,12.0,2024.0,"Designer_41, Designer_47","Bold Colors, Monochrome, Oversized"
57,Stripes,Seasonal Trend,4.424541822,13.0,2024.0,"Designer_6, Designer_3","Modal, Eco-Friendly, Oversized"
58,Cotton,Category Trend,0.620735679,13.0,2024.0,Designer_37,"Bamboo, Cotton, Minimalist"
59,Y2K,Style Trend,2.925853252,13.0,2024.0,Designer_13,"Bamboo, Y2K, Leather"
