product_id,shop_id,name,category,color,fabric,size_range,price_LKR,style_tags,product_url,created_ts,popularity_score,stock_count
1,8,UNKNOWN_PRODUCT,BEACH WEAR,Navy,Wool,L,3000.0,"Tall Friendly, Checked, Monochrome, Sporty, Dark Skin, Athleisure, Curvy Friendly, Patterned",https://casualcorner.com/product/1,2026-03-09 19:51:36,3.4,28
2,15,Luxury Rustic Coats,COATS,Checked,Polyester,XL-XXL,14000.0,"Floral, Formal, Comfy, Checked, Petite Friendly, Dark Skin, Cold Weather, Medium Skin",https://arena.com/product/2,2022-03-13 00:00:00,4.6,15
3,3,Vintage Oversized Beach Wear,BEACH WEAR,Mustard,Velvet,XS-S,5000.0,"Dark Skin, Eco-friendly, Edgy, Hipster, Business Casual, Y2K, Travel Friendly",https://hameedia.com/product/3,2022-03-13 00:00:00,2.7,39
4,12,Sporty Textured T-Shirts,T-SHIRTS,Brown,Silk,L,2500.0,"Rainy Weather, Festival, Fair Skin, Winter, Comfy, Slim Fit",No URL,2022-03-13 00:00:00,4.9,5
5,21,Casual Classic Cardigans,CARDIGANS,Multi-color,Tencel,M,9000.0,"Neutral Skin, Business Casual, Formal, Winter, Polka Dot, Floral",https://elements.com/product/5,2022-03-13 00:00:00,2.9,18
6,1,Urban Urban Blazers,BLAZERS,Grey,Denim,XL-XXL,12500.0,"Skinny Friendly, Streetwear, Polka Dot, Checked, Tall Friendly, Monochrome",https://foa.com/product/6,2026-03-09 02:05:54,2.7,13
7,9,Statement Wide Leg Sweatshirts,SWEATSHIRTS,Peach,Corduroy,L,5000.0,"Cold Weather, Fair Skin, Streetwear, Business Casual, Hot Weather, Formal, Skinny Friendly",https://houseoffashion.com/product/7,2022-03-13 00:00:00,4.5,29
8,2,Chic Luxury T-Shirts,T-SHIRTS,Yellow,Wool,XL-XXL,2500.0,"Streetwear, Sporty, Neutral Skin, Minimalist, Travel Friendly, Hot Weather, Party Wear, Monochrome",https://incarnage.com/product/8,2022-03-13 00:00:00,3.7,50
9,7,Elegant Essential Joggers & Pants,JOGGERS & PANTS,Blue,Modal,L,3000.0,"Preppy, Minimalist, Streetwear, Urban, Oversized, Hipster",https://dresssmart.com/product/9,2026-03-09 16:24:06,2.9,36
10,19,Sporty Chic Chinos,CHINOS,Beige,Leather,M,5500.0,"Cottagecore, Business Casual, Eco-friendly, Tall Friendly, Vintage",https://skylineclothing.com/product/10,2022-03-13 00:00:00,3.5,41
11,-1,Lightweight Heritage Joggers & Pants,JOGGERS & PANTS,Orange,Fleece,XS-S,2500.0,"Office Wear, Petite Friendly, Hot Weather, Minimalist, Party Wear, Polka Dot, Summer",https://fashionbug.com/product/11,2026-03-09 05:03:36,4.1,18
12,20,Tailored Soft Coats,COATS,Chocolate,Leather,XS-S,14500.0,"Party Wear, Checked, Dark Skin, Fair Skin, Monochrome",https://trendz.com/product/12,2022-03-13 00:00:00,4.7,2
13,4,Layered Textured Denim Jackets,DENIM JACKETS,Blue,Leather,XS-S,11000.0,"Monochrome, Polka Dot, Tall Friendly, Business Casual, Luxury, Vintage",https://signature.com/product/13,2026-03-09 19:36:24,2.4,11
14,12,Smart Oversized Joggers & Pants,JOGGERS & PANTS,White,Wool,M,4500.0,"Office Wear, Hipster, Edgy, Dark Skin, Comfy, Beach Wear, Sporty, Minimalist",https://urbancloset.com/product/14,2026-03-09 03:42:36,1.7,36
15,19,Statement Edgy Utility Pants,UTILITY PANTS,Striped,Modal,XL-XXL,12000.0,"Eco-friendly, Floral, Polka Dot, Patterned, Layering, Oversized, Cold Weather",https://skylineclothing.com/product/15,2022-03-13 00:00:00,1.3,6
16,1,Layered Casual Track Pants,TRACK PANTS,Chocolate,Cotton,L,3000.0,"Petite Friendly, Cottagecore, Festival, Skinny Friendly, Floral, Comfy, Formal",https://foa.com/product/16,2022-03-13 00:00:00,1.4,9
17,20,Chic Comfy Joggers & Pants,JOGGERS & PANTS,Chocolate,Wool,XS-S,4000.0,"Urban, Formal, Winter, Rainy Weather, Neutral Skin, Office Wear, Patterned",https://trendz.com/product/17,2022-03-13 00:00:00,0.0,24
18,14,Soft Edgy Beach Wear,BEACH WEAR,Mint,Linen,L,5000.0,"Petite Friendly, Patterned, Hipster, Business Casual, Cold Weather, Monochrome",https://metrowear.com/product/18,2026-03-09 09:12:12,2.7,45
19,3,Patterned Chic Cardigans,CARDIGANS,Black,Bamboo,XL-XXL,10000.0,"Autumn, Patterned, Checked, Dark Skin, Skinny Friendly, Cottagecore, Minimalist",https://hameedia.com/product/19,2026-03-09 14:42:42,4.2,33
20,9,Heritage Minimalist Blazers,BLAZERS,Orange,Unknown,M,9500.0,General,https://houseoffashion.com/product/20,2022-03-13 00:00:00,3.2,13
21,19,Luxury Textured Track Pants,TRACK PANTS,Blush,Modal,XL-XXL,2500.0,"Rainy Weather, Edgy, Tall Friendly, Floral, Vintage",https://skylineclothing.com/product/21,2026-03-09 12:40:36,2.6,50
22,16,Camo Relaxed Shorts,SHORTS,Peach,Silk,L,3000.0,"Edgy, Autumn, Patterned, Athleisure, Streetwear, Festival, Spring, Tall Friendly",https://planetsports.com/product/22,2026-03-09 00:46:00,1.6,24
23,18,Elegant Wide Leg Coats,COATS,Mint,Polyester,XL-XXL,9000.0,"Neutral Skin, Fair Skin, Petite Friendly, Layering, Hipster",https://breeze.com/product/23,2022-03-13 00:00:00,3.4,21
24,4,Bright Bold Blazers,BLAZERS,Red,Wool,XL-XXL,14000.0,"Winter, Monochrome, Skinny Friendly, Rainy Weather, Dark Skin, Luxury",https://signature.com/product/24,2022-03-13 00:00:00,3.1,23
25,2,Bright Oversized Chinos,CHINOS,Maroon,Denim,L,5500.0,"Office Wear, Vintage, Skinny Friendly, Slim Fit, Layering, Formal",https://incarnage.com/product/25,2022-03-13 00:00:00,3.7,43
26,14,UNKNOWN_PRODUCT,UTILITY PANTS,Grey,Silk,XL-XXL,10000.0,"Formal, Layering, Cottagecore, Preppy, Fair Skin, Summer, Party Wear",https://metrowear.com/product/26,2022-03-13 00:00:00,2.1,40
27,10,Functional Functional Oversize Tee,OVERSIZE TEE,Chocolate,Polyester,M,4000.0,"Monochrome, Petite Friendly, Cottagecore, Comfy, Floral, Tall Friendly",https://fashionbug.com/product/27,2026-03-09 00:24:12,1.2,21
28,2,Wide Leg Comfy Oversize Tee,OVERSIZE TEE,Olive,Tencel,L,4000.0,"Neutral Skin, Curvy Friendly, Formal, Autumn, Office Wear",https://incarnage.com/product/28,2022-03-13 00:00:00,1.3,18
29,4,Layered Casual Track Pants,TRACK PANTS,Pastel Blue,Jacquard,XL-XXL,5000.0,"Stripes, Y2K, Medium Skin, Edgy, Winter",https://signature.com/product/29,2022-03-13 00:00:00,1.6,28
30,11,Functional Minimalist Chinos,CHINOS,Pastel Blue,Polyester,M,4500.0,"Neutral Skin, Tall Friendly, Polka Dot, Y2K, Rainy Weather, Hipster, Dark Skin, Luxury",https://coolguy.com/product/30,2022-03-13 00:00:00,4.7,0
31,2,Luxury Heritage T-Shirts,T-SHIRTS,Polka Dot,Wool,XL-XXL,5000.0,"Petite Friendly, Preppy, Comfy, Athleisure, Winter, Y2K",https://incarnage.com/product/31,2026-03-09 18:39:36,1.9,41
32,10,Structured Comfy Chinos,CHINOS,Pink,Velvet,L,4000.0,"Dark Skin, Rainy Weather, Business Casual, Medium Skin, Hipster, Edgy",https://fashionbug.com/product/32,2022-03-13 00:00:00,2.9,33
33,22,Vintage Vintage Denim Jackets,DENIM JACKETS,Pastel Blue,Fleece,M,9000.0,"Comfy, Patterned, Stripes, Rainy Weather, Medium Skin, Summer",https://crossover.com/product/33,2022-03-13 00:00:00,1.9,10
34,18,Textured Structured Shorts,SHORTS,Grey,Rayon,XS-S,4000.0,"Edgy, Streetwear, Urban, Beach Wear, Fair Skin, Eco-friendly, Summer",https://breeze.com/product/34,2026-03-09 14:24:48,2.7,39
35,17,Chic Camo T-Shirts,T-SHIRTS,Sky Blue,Jacquard,M,3000.0,"Slim Fit, Cottagecore, Beach Wear, Fair Skin, Formal, Streetwear, Summer, Skinny Friendly",https://lifestyle.com/product/35,2026-03-09 12:39:36,1.2,2
36,4,Essential Urban Shorts,SHORTS,Navy,Cotton,M,3000.0,"Urban, Stripes, Petite Friendly, Edgy, Sporty, Business Casual, Polka Dot",https://signature.com/product/36,2022-03-13 00:00:00,2.4,22
37,18,Neutral Relaxed Joggers & Pants,JOGGERS & PANTS,Navy,Cotton,L,5000.0,"Office Wear, Checked, Eco-friendly, Sporty, Party Wear, Medium Skin, Business Casual",https://breeze.com/product/37,2022-03-13 00:00:00,4.5,22
38,4,Statement Smart Beach Wear,BEACH WEAR,Maroon,Bamboo,XL-XXL,5500.0,"Slim Fit, Rainy Weather, Stripes, Monochrome, Formal, Summer, Oversized, Skinny Friendly",https://signature.com/product/38,2022-03-13 00:00:00,4.0,43
39,12,Wide Leg Minimalist Cardigans,CARDIGANS,Tan,Unknown,XS-S,10500.0,"Cottagecore, Stripes, Streetwear, Medium Skin, Luxury, Hipster",https://urbancloset.com/product/39,2022-03-13 00:00:00,2.6,16
40,16,Edgy Retro Oversize Tee,OVERSIZE TEE,Grey,Unknown,XS-S,4000.0,"Hipster, Winter, Checked, Spring, Luxury, Polka Dot, Layering, Y2K",https://planetsports.com/product/40,2022-03-13 00:00:00,4.4,5
41,4,Classic Tailored T-Shirts,T-SHIRTS,Plaid,Tencel,One Size,4500.0,"Old Money, Curvy Friendly, Formal, Travel Friendly, Fair Skin, Casual",https://signature.com/product/41,2026-03-09 03:34:30,4.0,13
42,14,Luxury Classic Cardigans,CARDIGANS,Black,Corduroy,L,5000.0,"Fair Skin, Beach Wear, Office Wear, Preppy, Spring, Festival",https://metrowear.com/product/42,2026-03-09 04:17:48,1.1,22
43,-1,Vintage Vintage Beach Wear,BEACH WEAR,Camouflage,Rayon,M,3000.0,"Party Wear, Skinny Friendly, Cold Weather, Hot Weather, Sporty",https://arena.com/product/43,2022-03-13 00:00:00,2.1,25
44,10,Statement Relaxed Polos,POLOS,Red,Wool,XL-XXL,4500.0,"Summer, Petite Friendly, Office Wear, Patterned, Neutral Skin, Cold Weather",https://fashionbug.com/product/44,2026-03-09 17:36:24,2.8,7
45,17,Relaxed Bold Chinos,CHINOS,Multi-color,Corduroy,M,4000.0,"Urban, Y2K, Travel Friendly, Hipster, Preppy, Dark Skin, Cold Weather, Business Casual",https://lifestyle.com/product/45,2022-03-13 00:00:00,2.0,44
46,2,UNKNOWN_PRODUCT,BLAZERS,Brown,Tencel,XS-S,12000.0,"Cottagecore, Edgy, Polka Dot, Travel Friendly, Beach Wear",No URL,2022-03-13 00:00:00,2.3,31
47,18,Urban Luxury Kimono,KIMONO,Navy,Fleece,XL-XXL,12500.0,"Athleisure, Autumn, Beach Wear, Eco-friendly, Streetwear",https://breeze.com/product/47,2022-03-13 00:00:00,4.5,0
48,7,Camo Sporty Hoodies & Jackets,HOODIES & JACKETS,Maroon,Jacquard,One Size,13000.0,"Layering, Cottagecore, Stripes, Floral, Winter, Festival",https://dresssmart.com/product/48,2022-03-13 00:00:00,1.3,5
49,14,Structured Oversized Hoodies & Jackets,HOODIES & JACKETS,Red,Denim,M,10500.0,"Floral, Comfy, Tall Friendly, Luxury, Casual, Oversized",https://metrowear.com/product/49,2022-03-13 00:00:00,1.6,13
50,14,Relaxed Bold Beach Wear,BEACH WEAR,Navy,Fleece,XS-S,5000.0,"Streetwear, Festival, Rainy Weather, Autumn, Tall Friendly",No URL,2026-03-09 15:29:36,2.2,12
51,11,Oversized Relaxed Sweatshirts,SWEATSHIRTS,Multi-color,Jacquard,XS-S,4000.0,"Streetwear, Curvy Friendly, Fair Skin, Oversized, Medium Skin, Athleisure, Skinny Friendly, Floral",https://coolguy.com/product/51,2022-03-13 00:00:00,4.1,4
52,18,Vintage Preppy Utility Pants,Miscellaneous,Olive,Cotton,L,11500.0,"Hipster, Floral, Urban, Eco-friendly, Hot Weather, Beach Wear, Rainy Weather",No URL,2022-03-13 00:00:00,2.3,6
53,14,Urban Bright Kimono,KIMONO,Red,Tencel,L,9000.0,"Office Wear, Hot Weather, Slim Fit, Medium Skin, Monochrome",https://metrowear.com/product/53,2026-03-09 00:05:36,3.1,22
54,14,Lightweight Sporty T-Shirts,T-SHIRTS,Red,Bamboo,M,5000.0,"Spring, Rainy Weather, Patterned, Travel Friendly, Medium Skin",https://metrowear.com/product/54,2026-03-09 12:36:42,2.0,44
55,20,Casual Layered Coats,COATS,Mint,Rayon,L,13500.0,"Petite Friendly, Athleisure, Eco-friendly, Curvy Friendly, Y2K",https://trendz.com/product/55,2026-03-09 19:17:00,4.4,29
56,16,Edgy Preppy Blazers,BLAZERS,Camouflage,Leather,L,9500.0,"Curvy Friendly, Beach Wear, Monochrome, Polka Dot, Skinny Friendly, Autumn, Party Wear",https://planetsports.com/product/56,2022-03-13 00:00:00,4.5,35
57,15,Neutral Casual Cardigans,CARDIGANS,Charcoal,Silk,XL-XXL,12000.0,"Festival, Layering, Hipster, Sporty, Cottagecore, Medium Skin, Summer, Oversized",https://arena.com/product/57,2022-03-13 00:00:00,3.8,16
