preference_id,user_id,preferred_categories,preferred_colors,preferred_fabrics,preferred_brands,preferred_styles,skin_tone,body_type,price_sensitivity,updated_ts
1,1,"UTILITY PANTS, CHINOS, OVERSIZE TEE","Brown, Off-white, Teal","Modal, Cotton",Brand_3,"Casual, Athleisure, Formal",Medium Skin,Tall Friendly,Medium,2026-01-28 14:56:19
2,2,"JOGGERS & PANTS, BLAZERS, SHORTS","Polka Dot, Teal, Tan","Linen, Denim",Brand_6,"Athleisure, Formal, Beach Wear",Medium Skin,Curvy Friendly,Medium,2026-01-28 14:56:19
3,3,"COATS, JOGGERS & PANTS, SWEATSHIRTS","Brown, Tan, Yellow","Denim, Modal",Brand_19,"Hipster, Beach Wear, Eco-friendly",Dark Skin,Curvy Friendly,Medium,2026-01-28 14:56:19
4,4,"BEACH WEAR, COATS, UTILITY PANTS","Red, Striped, Peach","Linen, Fleece",Brand_8,"Hipster, Luxury, Y2K",Fair Skin,Skinny Friendly,Medium,2026-01-28 14:56:19
5,5,"SHORTS, OVERSIZE TEE, UTILITY PANTS","Tie-dye, Orange, Charcoal","Bamboo, Tencel",Brand_1,"Luxury, Casual, Preppy",Dark Skin,Curvy Friendly,High,2026-01-28 14:56:19
6,6,"SWEATSHIRTS, BEACH WEAR, TRACK PANTS","Peach, Pastel Pink, Mustard","Linen, Bamboo",Brand_1,"Y2K, Hipster, Eco-friendly",Fair Skin,Tall Friendly,High,2026-01-28 14:56:19
7,7,"SHORTS, DENIM JACKETS, POLOS","Multi-color, Beige, Green","Bamboo, Tencel",Brand_1,"Formal, Preppy, Luxury",Dark Skin,Curvy Friendly,High,2026-01-28 14:56:19
8,8,"JOGGERS & PANTS, TRACK PANTS, POLOS","Nude, Blue, Off-white","Bamboo, Tencel",Brand_9,"Eco-friendly, Minimalist, Party Wear",Fair Skin,Skinny Friendly,High,2026-01-28 14:56:19
9,9,"SHORTS, T-SHIRTS, HOODIES & JACKETS","Charcoal, Red, Blue","Polyester, Cotton",Brand_13,"Formal, Cottagecore, Casual",Dark Skin,Curvy Friendly,High,2026-01-28 14:56:19
11,11,"CARDIGANS, TANKS, TRACK PANTS","Sky Blue, Green, Grey","Tencel, Linen",Brand_19,"Office Wear, Formal, Beach Wear",Medium Skin,Curvy Friendly,Low,2026-01-28 14:56:19
12,12,"JOGGERS & PANTS, CHINOS, BLAZERS","Pastel Blue, Off-white, Navy","Denim, Corduroy",Brand_19,"Office Wear, Preppy, Cottagecore",Medium Skin,Curvy Friendly,Medium,2026-01-28 14:56:19
13,13,"CHINOS, DENIM JACKETS, KIMONO","Nude, Striped, Mustard","Fleece, Rayon",Brand_2,"Y2K, Eco-friendly, Cottagecore",Dark Skin,Petite Friendly,Medium,2026-01-28 14:56:19
14,14,"COATS, OVERSIZE TEE, DENIM JACKETS","Orange, Blue, Olive","Corduroy, Rayon",Brand_18,"Streetwear, Party Wear, Preppy",Neutral Skin,Curvy Friendly,Medium,2026-01-28 14:56:19
16,16,"TRACK PANTS, BEACH WEAR, TANKS","Black, Brown, Crimson","Linen, Cotton",Brand_5,"Eco-friendly, Y2K, Cottagecore",Neutral Skin,Skinny Friendly,High,2026-01-28 14:56:19
17,17,"POLOS, UTILITY PANTS, HOODIES & JACKETS","Tie-dye, Peach, Crimson","Silk, Polyester",Brand_12,"Office Wear, Hipster, Beach Wear",Dark Skin,Petite Friendly,High,2026-01-28 14:56:19
