preference_id,user_id,preferred_categories,preferred_colors,preferred_fabrics,preferred_brands,preferred_styles,skin_tone,body_type,price_sensitivity,updated_ts,_ingestion_ts,_source_file,_ingestion_date
1.0,1.0,"UTILITY PANTS, CHINOS, OVERSIZE TEE","Brown, Off-white, Teal","Modal, Cotton",Brand_3,"Casual, Athleisure, Formal",Medium Skin,Tall Friendly,Medium,2025-11-19 14:56:19.269218,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
2.0,2.0,"JOGGERS & PANTS, BLAZERS, SHORTS","Polka Dot, Teal, Tan","Linen, Denim",Brand_6,"Athleisure, Formal, Beach Wear",Medium Skin,Curvy Friendly,Medium,2025-11-19 14:56:19.269398,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
3.0,3.0,"COATS, JOGGERS & PANTS, SWEATSHIRTS","Brown, Tan, Yellow","Denim, Modal",Brand_19,"Hipster, Beach Wear, Eco-friendly",Dark Skin,Curvy Friendly,Medium,2025-11-19 14:56:19.269539,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
4.0,4.0,"BEACH WEAR, COATS, UTILITY PANTS","Red, Striped, Peach","Linen, Fleece",Brand_8,"Hipster, Luxury, Y2K",Fair Skin,Skinny Friendly,Medium,2025-11-19 14:56:19.269663,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
5.0,5.0,"SHORTS, OVERSIZE TEE, UTILITY PANTS","Tie-dye, Orange, Charcoal","Bamboo, Tencel",Brand_1,,Dark Skin,Curvy Friendly,High,2025-11-19 14:56:19.269789,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
6.0,6.0,"SWEATSHIRTS, BEACH WEAR, TRACK PANTS","Peach, Pastel Pink, Mustard","Linen, Bamboo",Brand_1,"Y2K, Hipster, Eco-friendly",Fair Skin,Tall Friendly,High,2025-11-19 14:56:19.269915,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
7.0,7.0,"SHORTS, DENIM JACKETS, POLOS","Multi-color, Beige, Green","Bamboo, Tencel",Brand_1,"Formal, Preppy, Luxury",Dark Skin,Curvy Friendly,High,2025-11-19 14:56:19.270037,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
8.0,8.0,"JOGGERS & PANTS, TRACK PANTS, POLOS","Nude, Blue, Off-white",,Brand_9,"Eco-friendly, Minimalist, Party Wear",Fair Skin,Skinny Friendly,High,2025-11-19 14:56:19.270179,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
9.0,9.0,"SHORTS, T-SHIRTS, HOODIES & JACKETS","Charcoal, Red, Blue","Polyester, Cotton",Brand_13,"Formal, Cottagecore, Casual",Dark Skin,Curvy Friendly,High,2025-11-19 14:56:19.270302,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
10.0,,"DENIM JACKETS, BEACH WEAR, UTILITY PANTS","Charcoal, Brown, Plaid","Fleece, Tencel",,"Eco-friendly, Vintage, Luxury",Fair Skin,Curvy Friendly,Medium,2025-11-19 14:56:19.270432,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
