preference_id,user_id,preferred_categories,preferred_colors,preferred_fabrics,preferred_brands,preferred_styles,skin_tone,body_type,price_sensitivity,updated_ts
1.0,1.0,"UTILITY PANTS, CHINOS, OVERSIZE TEE","Brown, Off-white, Teal","Modal, Cotton",Brand_3,"Casual, Athleisure, Formal",Medium Skin,Tall Friendly,Medium,2025-11-19 14:56:19.269218
2.0,2.0,"JOGGERS & PANTS, BLAZERS, SHORTS","Polka Dot, Teal, Tan","Linen, Denim",Brand_6,"Athleisure, Formal, Beach Wear",Medium Skin,Curvy Friendly,Medium,2025-11-19 14:56:19.269398
3.0,3.0,"COATS, JOGGERS & PANTS, SWEATSHIRTS","Brown, Tan, Yellow","Denim, Modal",Brand_19,"Hipster, Beach Wear, Eco-friendly",Dark Skin,Curvy Friendly,Medium,2025-11-19 14:56:19.269539
4.0,4.0,"BEACH WEAR, COATS, UTILITY PANTS","Red, Striped, Peach","Linen, Fleece",Brand_8,"Hipster, Luxury, Y2K",Fair Skin,Skinny Friendly,Medium,2025-11-19 14:56:19.269663
5.0,5.0,"SHORTS, OVERSIZE TEE, UTILITY PANTS","Tie-dye, Orange, Charcoal","Bamboo, Tencel",Brand_1,,Dark Skin,Curvy Friendly,High,2025-11-19 14:56:19.269789
6.0,6.0,"SWEATSHIRTS, BEACH WEAR, TRACK PANTS","Peach, Pastel Pink, Mustard","Linen, Bamboo",Brand_1,"Y2K, Hipster, Eco-friendly",Fair Skin,Tall Friendly,High,2025-11-19 14:56:19.269915
7.0,7.0,"SHORTS, DENIM JACKETS, POLOS","Multi-color, Beige, Green","Bamboo, Tencel",Brand_1,"Formal, Preppy, Luxury",Dark Skin,Curvy Friendly,High,2025-11-19 14:56:19.270037
8.0,8.0,"JOGGERS & PANTS, TRACK PANTS, POLOS","Nude, Blue, Off-white",,Brand_9,"Eco-friendly, Minimalist, Party Wear",Fair Skin,Skinny Friendly,High,2025-11-19 14:56:19.270179
9.0,9.0,"SHORTS, T-SHIRTS, HOODIES & JACKETS","Charcoal, Red, Blue","Polyester, Cotton",Brand_13,"Formal, Cottagecore, Casual",Dark Skin,Curvy Friendly,High,2025-11-19 14:56:19.270302
10.0,,"DENIM JACKETS, BEACH WEAR, UTILITY PANTS","Charcoal, Brown, Plaid","Fleece, Tencel",,"Eco-friendly, Vintage, Luxury",Fair Skin,Curvy Friendly,Medium,2025-11-19 14:56:19.270432
11.0,11.0,"CARDIGANS, TANKS, TRACK PANTS","Sky Blue, Green, Grey","Tencel, Linen",Brand_19,"Office Wear, Formal, Beach Wear",Medium Skin,Curvy Friendly,Low,2025-11-19 14:56:19.270554
12.0,12.0,"JOGGERS & PANTS, CHINOS, BLAZERS","Pastel Blue, Off-white, Navy","Denim, Corduroy",Brand_19,"Office Wear, Preppy, Cottagecore",Medium Skin,Curvy Friendly,Medium,2025-11-19 14:56:19.270680
13.0,13.0,"CHINOS, DENIM JACKETS, KIMONO","Nude, Striped, Mustard","Fleece, Rayon",Brand_2,"Y2K, Eco-friendly, Cottagecore",Dark Skin,Petite Friendly,Medium,2025-11-19 14:56:19.270801
14.0,14.0,"COATS, OVERSIZE TEE, DENIM JACKETS","Orange, Blue, Olive","Corduroy, Rayon",Brand_18,"Streetwear, Party Wear, Preppy",Neutral Skin,Curvy Friendly,Medium,2025-11-19 14:56:19.270922
15.0,,"POLOS, T-SHIRTS, BLAZERS","Multi-color, Navy, Olive","Tencel, Leather",Brand_11,"Cottagecore, Eco-friendly, Minimalist",Fair Skin,Tall Friendly,High,2025-11-19 14:56:19.271041
16.0,16.0,"TRACK PANTS, BEACH WEAR, TANKS",,"Linen, Cotton",Brand_5,"Eco-friendly, Y2K, Cottagecore",Neutral Skin,Skinny Friendly,High,2025-11-19 14:56:19.271193
17.0,17.0,"POLOS, UTILITY PANTS, HOODIES & JACKETS","Tie-dye, Peach, Crimson","Silk, Polyester",Brand_12,"Office Wear, Hipster, Beach Wear",Dark Skin,Petite Friendly,High,2025-11-19 14:56:19.271316
18.0,18.0,"HOODIES & JACKETS, TRACK PANTS, POLOS","White, Mustard, Pastel Blue","Wool, Rayon",Brand_13,"Preppy, Cottagecore, Streetwear",Medium Skin,Curvy Friendly,High,2025-11-19 14:56:19.271446
19.0,19.0,"CARDIGANS, TRACK PANTS, KIMONO","Maroon, White, Navy","Fleece, Wool",Brand_15,"Hipster, Office Wear, Beach Wear",Medium Skin,Tall Friendly,Medium,2025-11-19 14:56:19.271568
20.0,20.0,"T-SHIRTS, COATS, BLAZERS","Striped, Grey, Pink","Silk, Leather",Brand_2,"Athleisure, Y2K, Formal",Neutral Skin,Skinny Friendly,High,2025-11-19 14:56:19.271693
21.0,21.0,"TRACK PANTS, POLOS, COATS","Beige, Blue, Striped","Bamboo, Cotton",Brand_8,"Cottagecore, Casual, Beach Wear",Dark Skin,Curvy Friendly,Medium,2025-11-19 14:56:19.271825
22.0,22.0,"UTILITY PANTS, TRACK PANTS, TANKS","Black, Navy, Crimson","Corduroy, Cotton",Brand_1,"Luxury, Y2K, Beach Wear",Neutral Skin,Curvy Friendly,High,2025-11-19 14:56:19.271949
23.0,23.0,"CHINOS, DENIM JACKETS, BLAZERS","Pastel Green, Chocolate, White","Wool, Silk",Brand_6,"Casual, Vintage, Formal",Fair Skin,Curvy Friendly,Medium,2025-11-19 14:56:19.272070
24.0,24.0,"SHORTS, HOODIES & JACKETS, DENIM JACKETS","Mint, Chocolate, Tie-dye","Denim, Polyester",Brand_14,"Minimalist, Athleisure, Preppy",Neutral Skin,Petite Friendly,Medium,2025-11-19 14:56:19.272211
25.0,25.0,"BLAZERS, TANKS, HOODIES & JACKETS","Navy, Plaid, Mustard","Linen, Bamboo",Brand_8,,Dark Skin,Curvy Friendly,Low,2025-11-19 14:56:19.272333
26.0,26.0,"HOODIES & JACKETS, POLOS, SHORTS","Camouflage, Plaid, Tie-dye","Wool, Leather",Brand_3,"Vintage, Casual, Minimalist",Neutral Skin,Curvy Friendly,High,2025-11-19 14:56:19.272467
27.0,,"KIMONO, BEACH WEAR, DENIM JACKETS","Checked, Green, Multi-color","Linen, Corduroy",Brand_13,"Vintage, Streetwear, Office Wear",Neutral Skin,Curvy Friendly,Medium,2025-11-19 14:56:19.272590
28.0,28.0,"OVERSIZE TEE, SHORTS, HOODIES & JACKETS","Mint, Red, Camouflage","Velvet, Wool",Brand_5,"Vintage, Preppy, Formal",Neutral Skin,Curvy Friendly,Low,2025-11-19 14:56:19.272711
29.0,29.0,"OVERSIZE TEE, T-SHIRTS, KIMONO","Red, White, Plaid","Leather, Wool",Brand_9,"Party Wear, Beach Wear, Preppy",Medium Skin,Skinny Friendly,High,2025-11-19 14:56:19.272835
30.0,30.0,"POLOS, COATS, KIMONO","Blush, Striped, Tie-dye","Leather, Cotton",Brand_5,"Party Wear, Hipster, Beach Wear",Medium Skin,Petite Friendly,Low,2025-11-19 14:56:19.272954
31.0,31.0,"OVERSIZE TEE, HOODIES & JACKETS, JOGGERS & PANTS","Beige, Striped, Green","Fleece, Denim",Brand_2,"Streetwear, Eco-friendly, Minimalist",Neutral Skin,Petite Friendly,Medium,2025-11-19 14:56:19.273077
32.0,32.0,"KIMONO, CHINOS, COATS","Chocolate, Beige, Pastel Green","Polyester, Linen",Brand_2,"Luxury, Eco-friendly, Hipster",Dark Skin,Petite Friendly,Low,2025-11-19 14:56:19.273252
33.0,33.0,"DENIM JACKETS, CHINOS, BEACH WEAR","Peach, Multi-color, Checked","Polyester, Velvet",Brand_7,"Preppy, Streetwear, Office Wear",Fair Skin,Petite Friendly,Low,2025-11-19 14:56:19.273381
34.0,34.0,"TRACK PANTS, T-SHIRTS, TANKS","Multi-color, Camouflage, Tie-dye","Fleece, Corduroy",Brand_13,"Casual, Y2K, Streetwear",Dark Skin,Petite Friendly,High,2025-11-19 14:56:19.273513
35.0,35.0,"POLOS, TANKS, TRACK PANTS","Crimson, Blush, White","Wool, Linen",Brand_19,"Minimalist, Beach Wear, Athleisure",Dark Skin,Petite Friendly,Low,2025-11-19 14:56:19.273634
36.0,36.0,"T-SHIRTS, UTILITY PANTS, POLOS","Blush, Plaid, Beige","Cotton, Bamboo",Brand_15,"Casual, Cottagecore, Vintage",Medium Skin,Tall Friendly,Medium,2025-11-19 14:56:19.273760
37.0,37.0,"COATS, TRACK PANTS, KIMONO","Nude, Pastel Green, Chocolate","Corduroy, Silk",Brand_17,"Y2K, Streetwear, Preppy",Neutral Skin,Curvy Friendly,High,2025-11-19 14:56:19.273881
38.0,38.0,"TANKS, UTILITY PANTS, TRACK PANTS","Brown, Red, Blue","Modal, Linen",Brand_18,"Minimalist, Cottagecore, Luxury",Dark Skin,Petite Friendly,,2025-11-19 14:56:19.274000
39.0,39.0,"TANKS, T-SHIRTS, CARDIGANS","Olive, Red, Beige","Polyester, Leather",Brand_9,"Athleisure, Streetwear, Beach Wear",Dark Skin,Petite Friendly,Medium,2025-11-19 14:56:19.274146
